标题,来源,时间,问题,回答
山东理科考生,18***47 (山东),2018-06-27 09:28,老师好，咱们山东是平行志愿，把贵校放在第一志愿或者非第一志愿（想着再冲一冲其他高校），如果贵校前边的学校不录取我，对贵校录取我有影响吗？,没有
山东考生,13***28 (山东),2018-06-27 09:22,位次15789分数609报考贵校概率有多大,5成。
陕西理科录取,13***88 (陕西),2018-06-27 09:04,您好，我是陕西考生，成绩590，请问可以报贵校吗？,理科10000名以内希望较大。
贵州考生 635分 位次1665,13***30 (贵州),2018-06-26 16:35,请问贵校认可民族加分吗，可能投档吗,我校承认国家认可的加分。
志愿填报,13***44 (山西),2018-06-26 16:24,老师你好，山西理科，男性考生594分，有没有可能进入贵校学习？,希望非常大，欢迎报考。
河北理科考生——录取,18***80 (河北),2018-06-26 16:15,我是河北理科考生，今年成绩639，省排名8429.报考贵校有多大希望？如果服从调剂会被退档吗？谢谢。,希望较大。专业服从调剂，身体健康，进档不退档。
高校专项计划招生,17***22 (山东),2018-06-26 15:55,老师您好，我是今年山东考生，已经通过了高校专项的初审，高考成绩597分，排名21795名，高校专项计划有机会被录取吗？,我校没有专项计划。
咨询,13***98 (广东),2018-06-26 15:54,请问贵校今年在广州预定的录取人数大概有多少，录取的分数线大概是多少，谢谢,理科全省2.5万名前、文科9000名前有希望。
报考咨询,15***16 (河北),2018-06-26 15:50,河北理科考生，高考分数646报考贵校几率大吗?威海校区与山东大学的毕业证有区别吗？,河北理科排名9500名前希望较大。毕业证学位证没有区别，一样
四川理工类624,18***90 (四川),2018-06-26 15:36,四川理工类624，排名13223，报考贵校，录取的机会大吗？,按照往年，有希望，欢迎报考。
江苏考生录取问题,13***34 (江苏),2018-06-26 15:25,你好，我是江苏考生，理工科，高考分数367分，理化双A+，排名15800，想报考贵校，希望大吗,有希望。
江苏考生录取问题,13***34 (江苏),2018-06-26 15:19,你好，我是江苏考生，理工科，高考分数367分，理化双A+，排名15800，想报考山东大学威海分校，希望大吗,有希望。
天津理科,13***54 (天津),2018-06-26 14:56,天津理科611分排名4900有希望吗,建议将我校放在第一个学校志愿冲一下。
山东,18***79 (山东),2018-06-26 14:45,山东考生606分17194名进贵校有希望吗，能选择什么专业，请老师指点,报考中外合作办学专业希望很大。建议第一学校志愿报考我校普通类专业，第二个学校志愿报考中外合作办学专业。
河南考生报考咨询,13***27 (河南),2018-06-26 14:19,老师您好！我是女生，请问河南文科考生622分，省内分数排名2011名，报考贵校有希望录取吗？谢谢！,将我校放在第一个学校志愿冲一下。
山东文科,15***09 (山东),2018-06-27 15:35,老师您好，山东文科582分，能报考贵校吗,希望不大，建议第一志愿填报我校冲一下。
贵州理科考生咨询,18***38 (贵州),2018-06-27 15:27,您好，我高考分数595，位次5982，报考贵校机会大吗？,希望很大，欢迎报考!
山东文科,11***3@qq.com (山东),2018-06-27 15:27,老师您好，请问我今年高考617分，山东省排名2317，有希望报考贵校吗,希望很大，欢迎报考！
湖南考生，理科分数601，排名11621，可以报贵校吗？,13***80 (湖南),2018-06-27 15:06,湖南考生，理科分数601，排名11621，可以报贵校吗？谢谢~~,建议将我校放在第一个学校志愿冲一下，专业服从调剂。
录取问题,15***60 (湖南),2018-06-27 15:05,2018年湖南省考生601分，想报考贵校，但贵校招生章程上设有专业极差，若填报多个专业，导致高考分数降低，但服从调剂，还会被贵校录取吗或是只填报一个专业，服从专业调剂，会被录取吗,我校承诺，专业服从调剂，身体健康，进档不退档
志愿咨询,18***88 (江苏),2018-06-27 15:02,江苏理科366，线上30分，能报贵校吗,建议将我校放在第一个学校志愿冲一下。
学费问题,13***17@139.com (河南),2018-06-27 14:48,请问，我女儿河南考生理科606分，能报贵校吗，贵校收费都是高收费吗？有没有适合我女儿一般收费的专业？,我校是按照山东省物价局标准收费。具体收费标注请查看我校本科招生信息网。
湖南文科国家专项,15***59 (湖南),2018-06-27 14:37,请问今年湖南文科4000名左右609分通过国家专项有机会参考贵校么,有风险。
贵校走读生必须是威海本地户口吗，且还是算985.211吗,14***9@qq.com (山东),2018-06-27 14:27,山东大学威海分校（走读）是否只录取威海户口考生?是否除走读外其余待遇相同?谢谢您的回答！,走读生录取的是有威海学籍的考生。入校之后与普通生没有任何差别。
录取咨询,15***68 (河南),2018-06-27 13:53,我是河南省理科考生，611，是否有可能被录取?,希望较大，欢迎报考。
报考咨询,15***94 (广西),2018-06-27 13:42,您好，广西考生576，位次11962，请问报计算机科学与技术录取几率如何？,建议专业服从调剂，进档不退档。
河南理科考生604报贵校国家专项有多大希望?,18***28 (河南),2018-06-27 13:14,河南理科考生604报贵校国家专项有多大希望?,有希望。建议专业服从调剂
美术理,15***23 (山东),2018-06-27 12:59,文化分324，专业分268.报考该校是否有希望。该校是否英语限分。,没有英语限分，文化课有风险。
录取咨询,13***31 (广东),2018-06-27 12:46,广东理科考生563，报贵校计算机类有希望吗？,理科全省2.5万名前进入学校有希望，建议专业服从调剂，这样进档不退档。
福建理科考生 能否录取，贵校能否转专业,13***79 (福建),2018-06-27 12:46,老师您好，福建理科576分排位8929能报考贵校吗？，另外贵校能否转专业，修双学位？,将我校放在第一个学校志愿冲一下。一年后可以转专业，也可以修双学位。
我是新疆的学生 高考成绩572 排名4249，能考上你们学校,13***14 (新疆),2018-06-25 13:13,我是新疆的学生高考成绩572排名4249，能考上你们学校吗？,建议第一个学校志愿报考我校且专业服从调剂。
2018报考咨询,15***61 (新疆),2018-06-25 12:58,新疆理工，575分，4034名次，报考法学专业能录取吗吗,建议专业服从调剂，进档不退档。
山东考生,15***07 (山东),2018-06-25 12:00,您好，山东理科，615分，12800名左右，是否可以报贵校。专业能否推荐，另外我们学校毕业证与本校是否完全一致。谢谢,进入我校希望非常大。毕业证学位证与总校一样。按照兴趣填报专业，避开金融学、数学等专业。
您好，我是天津考生，理科620，位次4067，录取概率有多大,18***04 (天津),2018-06-25 11:48,您好，我是天津考生，理科620，位次4067，录取概率有多大,按照往年，有希望。建议专业服从调剂，进档不退档。
新疆理科考生,61***@qq.com (新疆),2018-06-25 11:44,您好，我是新疆理科考生，成绩555，请问报考贵校可有希望？,请问您的排名？
新疆理科考生,61***@qq.com (新疆),2018-06-25 11:43,您好，我是新疆理科考生，成绩555，请问报考贵校可有希望？,请问您的排名？
录取问题,18***96 (江西),2018-06-25 10:20,您好，我是江西考生理科594省排名10796符合国家专项。请问报考贵校有希望吗？,建议将我校放在第一个学校志愿冲一下。
录取问题,15***14 (吉林),2018-06-25 09:51,我是吉林考生610分省排名4710报考贵校不服从调剂能录取吗,建议专业服从调剂，进档不退档。如果不服从，被退档后将要征集志愿了，都是招不满的高校。
吉林文科考生,13***28 (吉林),2018-06-24 16:13,您好，我是吉林文科考生，高考分数553分，超一本线11分，省排名2499，请问，报考贵校第一批A段第一志愿，录取可能性有多少？,按照往年，有希望。
咨询,13***65 (贵州),2018-06-24 14:53,请问老师贵州省理科考生成绩575报考贵校希望大吗,请问您的排名。
国家专项计划,wj*** (河南),2017-06-28 16:53,国家专项里有一个贵校的专业为机械设计制造及自动化，请问是中外合作办学吗，而且招生之友上写国家专项计划的学费为6000，而本科一批里学费为28000，我报的是国家专项计划，请问收费多少,您好，国家专项和中外合作是两个类别。国家专项和中外合作专业分开填报。
河南报考,wj*** (河南),2017-06-28 16:45,我是河南考生，今年高考分数576，省排名15197，我报了国家专项计划，第一志愿报贵校，第一专业是软件工程，请问被录取可能大吗,您好，有希望，可以报考。
招收专业,ki*** (山东),2017-06-28 16:39,贵校今年在山东文科方面招收什么专业？,您好，您那个省？想报什么专业？
关于贵校法学专业录取的咨询,vi***n (山东),2017-06-28 16:21,您好，我是山东文科17年应届考生，高考成绩597分，全省排名1912，欲报考贵校法学专业，请问是否有把握？此外，贵校支持双学位的文史类专业有哪些？是否支持法学专业本硕连读，本校保研几率多少？谢谢！,您好，有希望。欢迎报考，我校双学位工商管理，会计学等等12各专业。每年保研率和总校一样达到12%
安徽理工,hu*** (安徽),2017-06-28 16:10,安徽理工582分9436名可能报考贵校？有没风险？,您好，有希望。建议报考时专业服从调剂，将我校放在第一位。
录取,15***75 (山东),2018-06-28 09:54,老师，我是山东理科，606分，省排名17246，能录取到贵校吗？,建议将我校填到第一个学校志愿冲一下。
录取,15***68 (山东),2018-06-28 09:40,请问一下，山东考生611排名14803能进入贵校吗？,进入学校希望很大，欢迎报考！
安徽理科考生,13***65 (安徽),2018-06-28 09:35,605分，排在11367名，过一本100分，想报考贵校的化学专业，请给点指点性建议，谢谢,建议将我校填报到第一专业冲一下
