标题,来源,时间,问题,回答
高考加分,ls*** (广西),2017-06-27 16:23,少数民族高考加分选专业时要算上吗?,同学您好，首先感谢您对广西大学的关注！录取分是算总分。
专业级差,al*** (广西),2017-06-27 16:15,请问贵校在录取时是否存在专业级差？谢谢老师抽空回答！,同学您好，首先感谢您对广西大学的关注！我们学校录取没有专业级差。
预科,em*** (广西),2017-06-27 16:13,老师您好！想咨询一下西大预科班的填报是看总分还是高考裸分？投档数与录取数的比例是多少？,同学您好，首先感谢您对广西大学的关注！我校录取按总分。比例为1:1。
预科生能不能转专业,ni*** (广西),2017-06-27 16:10,预科生能不能转专业,同学您好，首先感谢您对广西大学的关注！预科生不能转专业。
预科生能不能转专业,ni*** (广西),2017-06-27 16:09,预科生能不能转专业,同学您好，首先感谢您对广西大学的关注！预科生不能转专业。
贵校今年是否开设应用心理学专业,ch***6 (广西),2017-06-27 16:08,贵校今年是否开设应用心理学专业是否在广西区内招我在2016年计划看到了但在2017年好像没有,同学您好，首先感谢您对广西大学的关注！我校今年招生的专业，招生计划已在招生信息网公布，麻烦您查看。
广西大学预科生能不能转专业,ni*** (广西),2017-06-27 16:08,西大预科生升入学校以后能不能转专业,同学您好，首先感谢您对广西大学的关注！我校预科生不能转专业。
广西大学预科生能不能转专业,ni*** (广西),2017-06-27 16:05,西大预科生升入本科以后允许转专业吗？,同学您好，首先感谢您对广西大学的关注！预科生不能转专业。
双修,ch***7 (云南),2017-06-27 15:56,我是云南考生，高考分数527，想报考贵校，有多大机会？另外，贵校是否可以双修，如果可以，有些什么条件吗？,同学您好，首先感谢您对广西大学的关注！您可以查看我们广西大学招生信息网历年分数情况。我校有双修，具体的要求您可以查看我们教务信息网。
录取,15***20 (广西),2017-06-27 15:54,广西理科536分，排名9130，填土木或者电气被录取的希望大吗？,同学您好，首先感谢您对广西大学的关注！您可以参考我校历年录取相关专业的分数线。
宿舍条件,ka*** (河北),2017-06-27 15:47,请问：1、听说6a条件极差，大一女生都分到6a楼吗？6a楼有空调和热水吗？2、多缴住宿费是否可以去较好的宿舍？,同学您好，首先感谢您对广西大学的关注！我校的新生住宿情况由各个学院安排，6A已不安排住宿。
