标题,来源,时间,问题,回答
咨询,ji*** (山东),2008-06-26 14:05,老师，您好！我冒昧的提一个问题。希望您不要介意！延边大学属于211工程，可为什么每年在山东的最低分都比较低。而且贵校的医学系在全国排名却到了70多名。您认同这样的网上排名吗？谢谢！,不认同.
咨询,pe***20 (山东),2008-06-26 13:51,老师好，我是山东理科考生，我考了591分高出省一本线9分，报贵校有多大希望，谢谢。,"第一志愿报考,非法有希望."
问问,wd*** (贵州),2008-06-26 12:44,你好，我考了523+20分，报考贵校是否有希望!谢谢!,"高出一本线,就有希望录取。"
你好，请问贵校今年在贵州是否招收平行志愿的考生？若招收需在考,fu***g (贵州),2008-06-26 11:29,你好，请问贵校今年在贵州是否招收平行志愿的考生？若招收需在考生分数线上减掉多少分？,"一志愿生源不足,录取后续志愿.没有志愿级差."
咨询,gu***0 (山东),2008-06-26 10:23,我是山东临沂理科考生，考了585，报考贵校希望有多大？？？贵校一本需要多少分？？？谢谢！！！！山东一本582,有希望录取。
广西考生,51*** (广西),2008-06-26 10:13,1我是广西考生文科含加分552，广西一本528，进贵校希望大吗，2你校在投档成绩相同的条件下两个同学优先录取中的投档成绩是高考的实考分，还是实考分+政策加分，3贵校提档和安排专业时都承认民族加分么。谢谢,1希望非常大2承认加分3承认。
广西文科,li*** (广西),2008-06-25 16:53,请问在贵校转专业容易吗？？？大概什么时候可以转？？谢谢,没有转专业。
关于志愿级差,tc*** (安徽),2008-06-25 16:23,贵校设置志愿级差吗？有的话，是多少分？,没有。
请问,13***62 (河北),2008-06-25 15:43,河北理科572分高于一本线20分可否能被贵校录取,第一志愿报考非常有希望。
理科考生,lz*** (甘肃),2008-06-25 15:41,我是一名甘肃省理科考生，今年考了560分，不知道是否有希望报考贵校.{甘肃今年一本线为558分},第一志愿报考我校.有希望被录取。
山东理科,19*** (山东),2008-06-25 14:46,山东理科599高一本线17分报考贵校有希望吗？专业服从调配呢？,"第一志愿报考我校,很有希望被录取。"
咨询,la*** (山东),2008-06-25 13:40,山东文科考生592报考贵校有希望吗？,"高出一本线,第一志愿报考就有希望。"
咨询,mi*** (甘肃),2008-06-25 13:20,我是甘肃文科考生582排896名本省重点线560报考贵校经济学能否录取希望有多大?,第一志愿报考非常有希望。
咨询,ji*** (吉林),2008-06-25 11:31,吉林考生，601分，高出重本线32分，省里排名6834，报考贵校朝语系能否被录取,"非常有希望被录取，去年我校理科录到595,文科录到575."
期望,pe***n (湖南),2008-06-25 11:09,各位教授上午好！！请问：贵校在湖南是否有招生计划？往年录取分数是多少？是否招专科？能否专升本！！谢谢,"湖南有招生计划，一本线上录取。不招专科,没有专升本。"
服从调剂,13***44 (吉林),2018-06-27 13:09,汉族理科生报本校服从调剂是否会被调剂到珲春校区。,有可能
关于化学系,15***67 (吉林),2018-06-27 12:24,贵校化学类在本省招录考生包括应用化学和化学的师范和非师范，第一年学末分流，请问是怎么分的？是按成绩还是按个人意愿来分，具体是怎么分的?,先按照学生志愿分
专业级差，急问,13***90 (吉林),2018-06-27 10:25,老师好，请问延边大学有专业极差吗。一批，一本线上八分能考上吗,文科理科？
你好，请问延边大学有与专业级差吗,13***90 (吉林),2018-06-27 10:19,你好，请问延边大学有专业极差吗，今年吉林考生过一本线8分，想考延大能被提档吗，谢谢,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
您好,24***1@qq.com (辽宁),2018-06-27 10:11,您好，我是辽宁的理科考生，今年辽宁二本分数线是368分，我考了488分，请问报考贵学校的第二批次希望大吗?,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
少数民族预科班,13***72 (黑龙江),2018-06-27 10:07,请问老师如何报预科班预科班的毕业证书与正常入学的有什么不一样吗？,考生您好，毕业证都一样的。
！！,24***1@qq.com (辽宁),2018-06-27 10:01,您好，我是辽宁考生，今年辽宁二本分数线是368分，我考了488分，报考贵学校希望大吗,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
专业,15***03 (陕西),2018-06-27 09:32,我是陕西的考生，名次24083，报考贵校临床医学能否被录取？,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
二批政治学类,co***rtown.com.cn (吉林),2018-06-27 09:02,请问，吉林文科考生462分，配位10950，报二批次政治学类专业是否有把握？,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
河南考生,30***@qq.com (河南),2018-06-26 16:02,老师，河南文科365分，有机会被贵校专科录取吗？,考生您好，您可拨打我校招办电话详询0433-2732469。
山东理科,18***29 (山东),2018-06-26 15:42,山东理科563分，位次46000左右，报考贵校有希望吗？,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
黑龙江考生询问民族问题,15***86 (黑龙江),2018-06-26 15:23,我是黑龙江省理科考生。我仔细阅读了我省的招生计划。对延边大学很向往，但有两个疑问，希望能予以解答。谢谢。二批次有的专业写着招朝鲜族考生，不知其他民族学生能否报考；二批次B中外合作办学，可否不去国外就读，在国内完成所有学业。,考生您好，专业备注后面写只招朝鲜族的考生就只招朝鲜族，其他么民族不招。目前中外合作办学四年都在延边大学上课。想出国也可以申请到韩国学习。
海南理科生,18***90 (海南),2018-06-26 15:15,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询历年的分数线做参考，或拨打我校招办电话详询0433-2732469。
湖北理科538,15***42 (湖北),2018-06-26 14:58,老师，湖北理科538分可以报考贵校吗？如果服从专业调剂呢概率会不会大一点,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询，或拨打我校招办电话详询0433-2732469。
报考,13***26 (江西),2018-06-26 14:21,江西文科583分高一本线15分能被贵校录取吗？,考生您好，您可到延边大学招生网http://zsb.ybu.edu.cn中的历年分数线中查询，或拨打我校招办电话详询0433-2732469。
中外合作,qi***8 (山东),2017-06-26 09:27,老师好！中外合作专业，填报志愿时，单独占一个学校志愿吗？谢谢！,可拨打我校招生咨询电话043327324772732469
