标题,来源,时间,问题,回答
分数线,el*** (新疆),2011-05-12 16:42,考上300分能考上这项专业吗？,哪个专业?
我想问,sa*** (新疆),2011-05-12 16:41,请问；总分320的话能考上什么样的大学？,你想去什么样的大学？
分数线,el*** (新疆),2011-05-12 16:38,我考上350分能考上这个工作吗？,什么工作?
关于高考,gu*** (新疆),2011-05-12 16:36,如果这次高考得350分的话，那么可以进入那个大学?,哪所大学?
分数？,je*** (新疆),2011-05-12 16:35,您好！色盲考生能选（经济学），（金融学）职业吗？,参考国家高考体检指导意见
1,hu*** (新疆),2011-05-12 16:34,我那320分可以考新疆大学么？,"先知道是哪种考生类型,参考近三年的情况."
我想问,sa*** (新疆),2011-05-12 16:31,请问：总分320的话能考上什么样的大学？,你想上什么样的大学?
新大,ma*** (新疆),2011-05-12 16:00,分数线？,6月30日公布
提问,81*** (新疆),2011-05-12 15:53,请问您们这次第一批分数线是多少？,自治区定.
专业,zx*** (新疆),2011-05-12 09:34,请问，一批次和二批次同一大学专业有区别吗？可以填报同一专业吗？在哪里可以查到专业代码。,"同一大学一批次和二批次专业当然有区别,不能混报."
报考新疆大学,no***23 (河南),2010-06-29 10:39,我是河南的考生没过一本线，是不是被贵校录取的机会不大？,必须过一本线
咨询,xj*** (新疆),2010-06-28 16:51,比二本线还差29分，是否还有机会被贵校二本的一些冷门专业录取？比三本线高6分，能进贵校的三本吗,"二本线还差29分不能被录取,三本请咨询新疆大学科学技术学院"
怎么样,xj*** (新疆),2010-06-28 14:50,我是乌鲁木齐市考生，理科，成绩489，一本第一志愿报的新大（广告、新闻类）能否录取？,有可能，还要看考生报考情况
理496分  河南 回族,yu***8 (河南),2010-06-28 09:45,你们学校预科可以学哪些专业呢服从调剂可以上二本么谢谢,我校在河南只有一本，没有预科
咨询,wa***0 (山东),2010-06-27 12:11,你好我是山东理科考生超过一本线6分报贵校能被录取吗？,有可能
甘肃,lz*** (甘肃),2008-06-26 16:09,我是一名甘肃省理科考生，今年考了560分，不知道是否有希望报考贵校..{甘肃今年一本线为558分},"按以往录取情况看,过分数线一志愿报就有希望."
咨询,yy*** (贵州),2008-06-26 13:09,今年547能否上贵校,过一本分数线即可
咨询,ga*** (贵州),2008-06-26 10:27,我是贵州考生，分数是528，能考上你们学校吗?如果能，专业选择余地大不大?,"分数是528,如果是理科(分数线521)还是有很大希望，专业可调就有余地。"
您好！,pe***n (湖南),2008-06-25 16:49,各位教授下午好！！请问：贵校在湖南是否有招生计划？往年录取分数是多少？是否招专科？能否专升本！！谢谢（我们明天就出成绩了，可否快点，衷心感谢教授）,"在湖南有招生计划,不招专科,往年录取分数请参考我校信息."
你辛苦了,63*** (山东),2008-06-25 16:26,老师你好我是山东理科生分数582(一本线582）请问：若报贵校，被录取的希望有多大？,"我校这几年在山东理科招生基本上在一本线附近,若报我校，还是有被录取的希望."
咨询,ma***16 (陕西),2008-06-25 15:08,您好：我想咨询下陕西理科，高考成绩406分请问要是报贵校的大专录取的几率大不大？谢谢了,我校在陕西不招专科
十万火急,28*** (陕西),2008-06-25 13:38,我是陕西文科考生我今年考分397分请问我报考贵校有希望被录取吗如果被录取又能上哪些专业这些专业的前景又杂样,需过陕西文科一本分数线
急急急,ba***21 (山东),2008-06-25 09:47,您好！我是山东理科考生，请问589分报考贵校，录取的希望大吗》,"山东理科考生按以往情况,超过分数线,一志愿报考有希望,要注意专业."
我能被录取吗？,he***ybaby (河北),2008-06-24 16:11,我是一名河北考生（理科），今年考了509分，能报考贵校吗？,河北考生请参考河北的一批本科理科分数线。
新疆人读新大,al***3 (新疆),2008-06-24 12:00,您好!我估了510，但在平行志愿中报有该校，请问如果我第一志愿被撞车了，那我会被新大录取吗?而在平行志愿中，新大会比其他学校优先录取吗?,"我校在一志愿录取未满的情况下录取平行志愿,在平行志愿中,是按照分数优先原则，新大与其他学校一样没有区别，不具有优先权。"
ji,si*** (天津),2008-06-12 15:30,我是08年考生，理科的。天津的。近年估了420-430能否报考你们学校？？？？？？？,参考2007年分数线和今年天津地区考生考试情况
咨询,br***l (新疆),2008-06-12 13:05,老师您好?请问近三年民考汉的高考(全国范围)分数线多少?,全国范围分数线参考阳光高考平台http://gaokao.chsi.cn/
新疆考生,31***7 (新疆),2008-06-12 11:00,贵校五家渠校区的建设和设施怎样周围具体环境如和,我校没有五家渠校区
咨询,sh***ui123 (新疆),2008-06-11 16:56,请问下去年疆内美术类专业也是按专业过线文化课派名录取么？去年文化最低多少？,"去年疆内美术类专业也是按专业过线文化课排名录取,2007年文化课最低339分."
国防生,bj*** (河南),2008-06-11 16:25,请问贵校国防生录取时，对于第一自愿进档考生，在专业安排上是执行分数优先还是专业清（专业自愿优先）的原则？,采取专业级差，1-2专业10分，2-3专业5分。
平行志愿,fm*** (新疆),2010-06-27 11:14,请问老师新疆考生过一本线志愿可调的平行志愿是否一定会被录取,平行志愿录取人数要看一志愿录取完成情况，平行志愿只能是有可能录取。
咨询,10***0 (陕西),2010-06-26 14:49,老师您好我是陕西考生，考了564报贵校被录取的机会有多大？另外，能发下贵校在陕西往届录取各专业分吗？谢谢！,要过一本线
报考,05*** (河南),2010-06-26 13:23,老师您好，我是河南考生，今年高考成绩483分，想报考贵校，请问有希望吗？？谢谢诶,要过一本线
咨询,zh*** (江苏),2010-06-26 11:35,你好，我是江苏理科考生，高考成绩是371分，本一线为355分，想知道报考贵校有没有希望？,希望很大
咨询,hm*** (新疆),2010-06-26 11:16,400分，理科，报贵校的急需人才计划能否录取？,要过自治区投档线
