标题,来源,时间,问题,回答
您好，山东考生，理科610分，省排名15012，报贵校可否,15***18 (山东),2018-06-25 16:42,您好，山东考生，理科610分，省排名15012，报贵校可否,请参考我校去年录取情况，对比去年排名，综合考量报考。欢迎报考暨南大学。暨南大学招生办公室https://zsb.jnu.edu.cn/
能否录取,gu*** (云南),2017-06-24 16:55,老师您好，我是云南考生，理科575分排名6116，超过一本分数线75分，报考贵校能录取吗？,请参考往年录取分数线及排名http://zsb.jnu.edu.cn/6c/2f/c3468a93231/page.htm
提档线,19***1 (山东),2014-05-09 15:38,老师你好贵校最近三年在山东文科提档线是多小啊谢谢啊,您好，分数请参考http://zsb.jnu.edu.cn/zsb-ly/fsx/fs.html
北京文科，线上多少能录，退档否?,wa***89 (北京),2014-05-09 14:43,北京文科，线上多少能录，退档否?,分数请参考http://zsb.jnu.edu.cn/zsb-ly/fsx/fs.html；服从专业调剂，尽量录取，具体视实际情况定
退档吗？,zh*** (北京),2014-05-09 14:34,请问学生服从调剂时提档后还会退档吗？,服从调剂尽量录取，具体视实际情况定
山东理科考生，位次49000,15***18 (山东),2018-06-25 16:19,山东理科考生，560分，高于一本线44分，位次49890，报考有希望吗？,请参考我校去年录取情况，对比去年排名，综合考量报考。欢迎报考暨南大学。暨南大学招生办公室https://zsb.jnu.edu.cn/
暨南大学中外合作,18***79 (山东),2017-06-25 09:31,老师，您好！看到17年中外合作在山东没有计划，明年有没有可能在山东放计划。,没有
山东文科,re***9 (山东),2017-06-25 09:19,我是山东文科考生，599，排名1731，报考贵校可能性大吗？贵校在山东有提前批招生吗？有什么专业？,请参考往年录取分数线及排名，只有艺术类专业是提前批http://zsb.jnu.edu.cn/6c/2f/c3468a93231/page.htm
广东男文科生,il***ro (广东),2017-06-24 16:53,1.我想知道贵校在广东文科招生人数还有最低投档线比重本线一般高多少？（近5年）2.我想知道贵校在广东文科招生各专业的人数和最低投档线比重本线一般高多少？（近五年）,具体信息请参考该网站http://zsb.jnu.edu.cn/6c/2f/c3468a93231/page.htm
录取,do*** (福建),2017-06-24 14:04,我是福建理科生，559，排名4384，报考贵校文化产业管理专业录取几率多大？,请参考往年录取分数线及排名http://zsb.jnu.edu.cn/6c/2f/c3468a93231/page.htm
