标题,来源,时间,问题,回答
北京 理科男 600分,15***96 (北京),2018-06-26 16:24,您好机械电子类贵校今年多少分呢还有中外办学的分数我北京的,你好！我校2017年在北京市理工类录取最低分587，对应位次8610，录取最高分615，对应位次4773，根据往年录取情况，你的成绩填报我校是有希望的，你可以将机械类专业填在第一专业志愿，我校没有专业级差。欢迎报考我校！
咨询,18***46 (内蒙古),2018-06-26 16:23,您好，我是内蒙考生，理科，分数585（含蒙族十分）排名5753，有希望选择贵校吗,你好！我校2017年在内蒙古理工类录取最低分548，对应位次7448，录取最高分601，对应位次2387，根据往年录取情况，你的成绩填报我校很有希望的。欢迎报考我校！
你好老师，山东理科生617分，报考贵校能录取吗？,18***87 (山东),2018-06-26 16:12,你好老师，山东理科生617分，报考贵校能录取吗？贵校的材料专业能录取吗？,你好！我校2017年在山东省理工类录取最低分602，对应位次16112，录取最高分627，对应位次6722，根据往年录取情况，你的成绩填报我校是有希望的，考生可根据自己的兴趣以此填报专业志愿，我校没有专业级差。欢迎报考我校！
模拟投档线,18***56 (湖北),2018-06-26 15:52,老师，我是湖北考生，今年取得了武汉理工的B类自招30分资格，请问什么时候可以看到模拟投档线，在哪里可以看到呢？,你好！模拟投档线由湖北省招生考试院在录取时确定，详情请咨询当地省市招生考试院。欢迎报考我校！
湖北考生,18***56 (湖北),2018-06-26 15:49,今年取得了武汉理工的B类自招30分资格，成绩577分，可以被录取吗?填志愿的时候只要是B类专业都可以填吗？如果服从调剂，是不是B类专业只要有一个够分数就会被录取呢？,你好！我校2017年在湖北省理工类录取最低分576，对应位次12283，录取最高分615，对应位次3845，B类考生可以填报B类计划相应的文理科专业志愿六个。六个志愿中需要包含自主招生网上报名时所填报专业，第一专业志愿可以不是自主招生填报的专业，并选择专业服从调剂。欢迎报考我校！
录取咨询,18***40 (青海),2018-06-26 15:46,我是青海考生分数494排名2434能否被机械设计制造及其自动化专业录取,你好！我校2017年在青海理工类录取最低分461，对应位次2798，录取最高分525，对应位次924，根据往年录取情况，你的成绩填报我校很有希望，你可以将机械设计制造及其自动化专业放在第一专业志愿，我校没有专业级差。欢迎报考我校！
老师好，国家专项计划问题。,18***08 (河南),2018-06-26 15:43,老师您好，河南-理科-568-过一本线69分-走国家专项计划，有希望被贵校录取吗？,你好！我校2017年在河南省国家专项录取最低分为572分，排名16897，根据往年录取情况，你的成绩填报我校有一定希望。欢迎报考我校！
能否录取,15***60 (陕西),2018-06-26 15:24,陕西理科考生，分数591，位次9781，如果选贵校经济学或金融学有希望吗？,你好！我校2017年在陕西省理工类录取最低分568，对应位次9697，录取最高分586，对应位次6970，根据往年录取情况，你的成绩填报我校是有希望的，你可以将经济学或金融学放在专业志愿的前列，我校没有专业级差。欢迎报考我校！
录取,15***29 (湖南),2018-06-26 15:22,老师您好！湖南省2018年理科考生，成绩596，第一志愿报考贵校有希望吗？,你好！我校2017年在湖南省理工类录取最低分581，对应位次9153，录取最高分608，对应位次4167，根据往年录取情况，你的成绩填报我校有一定风险。欢迎报考我校！
中外合作,13***19 (北京),2018-06-26 15:10,请问机械类对英语分数与要求吗？课程设置与国外的大学一样还是和本校的机械类专业一样？是否有外教上课？,[你好！中外合作办学对英语成绩没有单独要求和规定。车辆工程专业学生完成国内四年所有课程学习并达到要求者，可同时获得武汉理工大学车辆工程专业本科毕业证书和工学学士学位证书及英国威尔士大学（威尔士三一圣大卫大学）汽车工程或赛车工程理学学士学位证书。金融学专业学生在完成所有课程学习并达到要求者，可获得武汉理工大学金融学专业本科毕业证书和学士学位证书，在4年学习中自愿选择到澳大利亚纽卡斯尔大学学习并达到纽卡斯尔大学要求者，可获得澳大利亚纽卡斯尔大学学士学位证书（国家承认学历）。详细情况请咨询国际教育学院：027-87585099。欢迎报考我校！
海南理科生,15***16 (海南),2018-06-26 15:09,你好，请问海南高考709，是否能报考该校，录取几率大吗,你好！我校2017年在海南省理工类录取最低分697，对应位次2055，录取最高分737，对应位次859，根据往年录取情况，你的成绩填报我校是很有希望的。欢迎报考我校！
中外合作,15***96 (湖北),2018-06-26 14:52,请问理科考生今年大约多少分可以报考贵校中外合作专业啊,你好！我校2017年在湖北省中外合作办学机械类车辆专业录取分数为561，位次为16972，金融学专业录取分数为565，位次为15656，请根据往年的录取情况综合考虑。欢迎报考我校！
广西理科考生,13***85 (广西),2018-06-26 14:40,我今年理科成绩603，位次6061，想报考武汉理工大学的材料类专业，能否有录取的把握？,你好！我校2017年在广西省理工类录取最低分542，对应位次7909，录取最高分579，对应位次2830，根据往年录取情况，你的成绩填报我校很有希望，你可以将材料类专业放在第一位专业志愿，我校没有专业级差。欢迎报考我校！
新疆考生,17***32 (新疆),2018-06-26 14:28,新疆考生605，位次2050报考材料类有希望吗？,你好！我校2017年在新疆理工类录取最低分538，高出控制线101分，根据往年录取情况，你的成绩填报我校是很有希望的。欢迎报考我校！
广西想报机械的一位考生,15***56 (广西),2018-06-26 14:24,老师您好，我是今年广西考生，我今年的成绩是595，广西排名7612，想报你们的机械类专业，有没有希望呢？,你好！我校2017年在广西省理工类录取最低分542，对应位次7909，录取最高分579，对应位次2830，根据往年录取情况，你的成绩填报我校很有希望，你可以将机械类专业放在专业志愿前面，我校没有专业级差。欢迎报考我校！
咨询录取可能性,15***83 (山东),2018-06-28 12:26,山东考生，通过高校专项计划计算机类，高考594有机会吗,你好！我校2017年在山东省高校专项计算机类的录取分数为590分，排位22501，你的成绩填报我校高校专项是有一定风险的。欢迎报考我校！
湖南考生有希望录取吗？,15***31 (湖南),2018-06-28 12:23,总分581省排名18181有希望录取吗？能选到什么专业？,你好！我校2017年在湖南省理工类录取最低分581，对应位次9153，录取最高分608，对应位次4167，根据往年录取情况，你的成绩填报我校是有一定风险的。欢迎报考我校！
新疆考生,17***18 (新疆),2018-06-28 11:55,新疆理科考生579位次3733可以报考贵校吗？,你好！我校2017年在新疆理工类录取最低分538，高出控制线101分，根据往年录取情况，你的成绩填报我校是很有希望的。欢迎报考我校！
中外合资,13***96 (山东),2018-06-28 11:51,我是山东考生，今年位次25461，想要申请贵校的中外合资专业，贵校的中外合专业在山东有两个专业招生，我们如果填写志愿时，是两个都选还是只选一个，或可以调剂，我省是平行志愿，提档后是否会退档。,你好！我校2017年在山东省中外合作办学金融学的录取最低分为593，排位20792，中外合作办学车辆工程录取最低分为589，排位23125，你的成绩填报我校中外合作办学专业是有一定希望的。欢迎报考我校！
江西理科610，能否报考贵校,18***86 (江西),2018-06-28 11:31,江西理科610，省排名6555，能否报考贵校金融专业吗,你好！我校2017年在江西省理工类录取最低分573，对应位次7717，录取最高分593，对应位次4219，考生根据自己的学习成绩、兴趣爱好、特长及身体条件综合考虑选择专业，将金融专业放在专业志愿前列，我校没有专业级差。欢迎报考我校！
吉林一本线上,18***25 (吉林),2018-06-28 11:23,你好老师过了吉林一本线55分位次7650希望大么服从调剂可以进么,你好！我校2017年在吉林省理工类录取最低分558，对应位次8019，录取最高分596，对应位次3899，你的成绩填报我校是很有希望的，建议将我校放在平行志愿第一顺位，并填报好保底院校，确保顺利录取。欢迎报考我校！
报考,15***79 (湖南),2018-06-28 11:19,你好，湖南考生608，位次9712名，能报考电气自动化，计算机专业吗？录取几率怎么样？,你好！我校2017年在湖南省理工类录取最低分581，对应位次9153，录取最高分608，对应位次4167，根据往年录取情况，你的成绩填报我校是有希望的，你可以将电气自动化和计算机专业放在专业志愿前列，我校没有专业级差。欢迎报考我校！
河南考生,15***78 (河南),2018-06-28 11:13,我今年高考分数557，报武汉理工大学有希望吗,你好！我校2017年在河南省理工类录取最低分581，对应位次13161，录取最高分608，对应位次5299，根据往年录取情况，你的成绩填报我校有风险。欢迎报考我校！
河南考生,15***72 (河南),2018-06-28 10:56,老师，您好！我是河南考生，理科，612分，贵校预估录取线是多少，被录取的可能性大吗？,你好！我校2017年在河南省理工类录取最低分581，对应位次13161，录取最高分608，对应位次5299，根据往年录取情况，你的成绩填报我校有一定希望，建议将我校放在平行志愿第一顺位冲一冲，并填报好保底院校，确保顺利录取。欢迎报考我校！
报考咨询,13***16 (山东),2018-06-28 10:54,山东文科612分，3043名，想读金融、经济、国贸、工商管理专业，报贵校有把握吗？,你好！我校2017年在山东省文科类录取最低分583，对应位次3861，录取最高分594，对应位次2772，根据往年录取情况，你的成绩填报我校是很有希望的，你可以将金融、经济、国贸、工商管理专业根据自己的兴趣偏好以此填写专业志愿，我校没有专业级差。欢迎报考我校！
广东理科572分排位19083,12***qq.com (广东),2018-06-28 10:52,请问广东理科572分排位19083报考贵校有希望吗？谢谢！,你好！我校2017年在广东省理工类录取最低分544，对应位次22000，录取最高分579，对应位次8410，根据往年录取情况，你的成绩填报我校是有希望的，建议将我校放在平行志愿第一顺位，并填报好保底院校，确保顺利录取。欢迎报考我校！
转专业问题,13***15 (广东),2018-06-28 10:49,请问贵校，转专业有什么要求？,你好！我校转专业实行“转出无限制、转入有门槛”的专业自主选择政策，鼓励学生转入兴趣浓厚的专业学习，考生在大一下学期可以在全校申请转专业。大二下学期可以在学院内申请转专业。平均每年成功调转专业的学生达800余人。欢迎报考我校！
咨询,27***@qq.com (重庆),2018-06-28 10:27,重庆理科612分，报考你校有把握吗？另外，如果投档到你校，服从调剂，会不会被退档？,[你好！我校2017年在重庆市理工类录取最低分580，对应位次9034，录取最高分621，对应位次2781，根据往年录取情况，你的成绩填报我校是有希望的，建议将我校放在平行志愿第一顺位，并填报好保底院校，确保顺利录取。如果考生投档进我校，专业服从调剂，体检、政审合格，符合我校相关专业录取要求，平行志愿投档后不退档。欢迎报考我校！
专业,15***89 (江苏),2018-06-28 10:18,请问武汉理工大学官网上哪儿可以查到专业的详细介绍,你好！详细的专业介绍请登入我校招生信息网查询：http://zs.whut.edu.cn/zhinan/whutzhinan.pdf。欢迎报考我校！
录取几率,18***23 (河南),2018-06-28 10:07,您好，河南省理科考生611分、11712名报考贵校有希望被录取吗？能给些中肯的建议吗?谢谢。,你好！我校2017年在河南省理工类录取最低分581，对应位次13161，录取最高分608，对应位次5299，根据往年录取情况，你的成绩填报我校是很有希望的。欢迎报考我校！
志愿,15***53 (广西),2018-06-28 09:19,老师您好广西理科590分，打算第一个志愿就填贵校，或者三个志愿都写贵校可以吗把握大吗谢谢,你好！我校2017年在广西省理工类录取最低分542，对应位次7909，录取最高分579，对应位次2830，根据往年录取情况，你的成绩填报我校是很有希望，建议将我校放在平行志愿第一顺位，并填报好保底院校，确保顺利录取。欢迎报考我校！
录取,18***97 (山东),2018-06-28 09:16,老师你好，山东考生606分，位次17178，报考贵校有希望吗？,你好！我校2017年在山东省理工类录取最低分602，对应位次16112，录取最高分627，对应位次6722，根据往年录取情况，你的成绩填报我校是有希望的。欢迎报考我校！
咨询专业,13***50 (山东),2018-06-28 09:11,贵校在山东招生计算机类有三个专业如果想学习物联网专业，入校后如何操作,你好！大类招生专业将经过1-2年的通识教育培养，学生可以根据自己的发展规划、兴趣和特长，再确认主修专业。欢迎报考我校！
报考资询,13***31 (河南),2018-06-28 09:08,河南理科607分，13303名，服从调剂能否被录取，谢谢,你好！我校2017年在河南省理工类录取最低分581，对应位次13161，录取最高分608，对应位次5299，根据往年录取情况，你的成绩填报我校是有希望的，建议将我校放在平行志愿第一顺位，并填报好保底院校，确保顺利录取。欢迎报考我校！
武汉理工大学,15***95 (河南),2018-06-28 09:02,今年在河南的估计报考位次,你好！我校2017年在河南省理工类录取最低分581，对应位次13161，录取最高分608，对应位次5299，考生根据往年录取情况和自己的成绩进行综合考虑填报志愿。欢迎报考我校！
录取,15***38 (山东),2018-06-27 17:00,山东考生，理科，位次21745，报考中外合作的录取希望大吗,你好！根据往年我校在山东省的录取情况，你的成绩填报我校中外合作办学是有希望的。欢迎报考我校！
录取,15***38 (山东),2018-06-27 16:59,山东考生，理科，位次21745，请问老师有录取希望吗,你好！我校2017年在山东省理工类录取最低分602，对应位次16112，录取最高分627，对应位次6722，根据往年录取情况，你的成绩填报我校有一定的风险。欢迎报考我校！
报考咨询,18***99 (新疆),2018-06-27 16:57,新疆考生，理科586分，排名3279，报考贵校能否录取，谢谢！,你好！如果考生投档进我校，专业服从调剂，体检、政审合格，符合我校相关专业录取要求，平行志愿投档后不退档。欢迎报考我校！
山东考生报考咨询,17***38 (山东),2018-06-27 16:56,老师您好~我是山东考生，成绩581，省内排位32270，想问下报考贵校有希望被录取吗？,你好！我校2017年在山东省理工类录取最低分602，对应位次16112，录取最高分627，对应位次6722，根据往年录取情况，你的成绩填报我校有一定的风险。欢迎报考我校！
江西1,15***36 (江西),2018-06-27 16:54,江西理科7710今年报考贵校希望大吗？有专业可挑吗？贵校实行大类招生吗？贵校怎么转专业的？,[你好！我校2017年在江西省理工类录取最低分573，对应位次7717，录取最高分593，对应位次4219，考生根据自己的学习成绩、兴趣爱好、特长及身体条件综合考虑选择专业，我校没有专业级差。我校有18个大类专业招生，详细安排可登入我校招生信息网查询：http://zs.whut.edu.cn/zhinan/whutzhinan.pdf。我校转专业实行“转出无限制、转入有门槛”的专业自主选择政策，鼓励学生转入兴趣浓厚的专业学习，考生在大一下学期可以在全校申请转专业。大二下学期可以在学院内申请转专业。平均每年成功调转专业的学生达800余人。欢迎报考我校！
艺术类问题,18***11 (广东),2018-06-27 16:52,广东美术考生，综合490分，请问有机会报考贵校吗？,你好！我校2017年在广东省艺术类录取最低分540，考生根据往年的录取情况，进行填报志愿，你的成绩填报我校有一定风险。欢迎报考我校！
录取咨询,13***64 (广东),2018-06-27 16:24,我小孩广东理科，572分，广东省理科排名18832，有可能被贵校录取吗？,你好！我校2017年在广东省理工类录取最低分544，对应位次22000，录取最高分579，对应位次8410，根据往年录取情况，你的成绩填报我校是有希望的，建议将我校放在平行志愿第一顺位，并填报好保底院校，确保顺利录取。欢迎报考我校！
四川成都 理科男 598分,15***96 (北京),2018-06-27 15:56,向往贵校请问有机会吗,你好！我校2017年在四川省理工类录取最低分592，对应位次14149，录取最高分613，对应位次7472，根据往年录取情况，你的成绩填报我校有一定风险。欢迎报考我校！
