标题,来源,时间,问题,回答
录取问题,13***54 (山东),2018-06-28 09:56,老师你好，山东理科610分，位次15190-15200，能否报考贵校？如果选择食品质量与安全专业有多大可能？谢谢,你好，有希望进校，建议A志愿填报我校，录取专业不一定，想学食品质量与安全专业的话就放在专业志愿第一个，再根据兴趣填报其他专业志愿，尽量选择专业服从调剂
录取,18***11 (山东),2018-06-28 09:53,请问，山东理科599报贵校有希望吗,你好，这个成绩只能A志愿填报我校冲一下，尽量选择服从专业调剂
录取,15***10 (山东),2018-06-28 09:48,贵校可以报二本吗？,你好，我校面向本科一批招生
报考咨询,13***02 (河南),2018-06-28 09:39,河南考生理科596分，高出一本线97分，省排名18100左右，报考贵校可以吗？如果可以有哪些专业推荐呢？,你好，这个成绩可以A志愿填报我校冲一下，尽量选择服从专业调剂
录取咨询,15***71 (山西),2018-06-28 09:37,您好，我是山西文科考生，分数591，省排名1223，有希望能被贵校录取吗？有可能选到理想的专业吗?,你好，有希望，建议A志愿填报我校，把喜欢的专业放在专业志愿前面，尽量选择专业服从调剂
您好，福建理科589分 排名6755 有希望被录取吗？,18***55 (福建),2018-06-28 09:33,您好，福建理科589分排名6755有希望被录取吗？,你好，我校2017年在福建理科录取线为525分，录取线与省控线差值84分，录取线对应省排名为9800名左右，仅供参考。
湖南考生,13***80 (湖南),2018-06-28 09:31,湖南考生，理科分数601，排名11621，可以报贵校吗？谢谢~~,你好，这个成绩可以A志愿填报我校冲一下，尽量选择服从专业调剂
青海考生咨询,15***06 (青海),2018-06-28 09:30,另：在青海理科排名位次是2321,你好，有希望，建议A志愿填报我校，尽量选择专业服从调剂
青海考生咨询,15***06 (青海),2018-06-28 09:11,青海理科女，高考成绩487分，加上青海牧区照顾分10分，估分497分报江南大学为第一志愿可以吗？,你好，有希望，建议A志愿填报我校，尽量选择专业服从调剂
咨询,18***46 (内蒙古),2018-06-27 16:37,您好，我是内蒙理科考生，分数585（含蒙古族十分）排名5753，能否选择贵校?,你好，有希望，建议A志愿填报我校，尽量选择专业服从调剂
