标题,来源,时间,问题,回答
咨询,20***n (新疆),2016-06-28 10:22,您好，新疆高三考生580分，位次2430，报考贵校是否可行？,有希望进档
山东考生,su***o123456 (山东),2016-06-28 10:02,老师您好，我是山东理科考生，580分，排名41700，报您校有希望吗？请指教！,有希望进档
山东文科,zh*** (山东),2016-06-28 10:02,你好老师，我山东文科567分，排名5669，去贵校希望大不大，我偏向英语专业，高考英语成绩135，口语93，录取概率有多少？谢谢,有希望进档
安徽考生,fa***69 (安徽),2016-06-28 09:48,安徽考生理科588分，超一本70分，可以报贵校吗？,有希望进档
报考,sh***a (河北),2016-06-26 16:54,河北理科2016年高考成绩625分能否报考高校？,可以报考，进档希望很大
报考,w9***4 (四川),2016-06-26 16:51,老师您好，我是四川考生，理科567分，超一本线35分，报考贵校有希望录取吗?,有希望录取
报考,18***87 (天津),2016-06-26 15:44,老师：您好，天津理科542分，超一本线30分，名次9542，报考贵校有希望吗？谢谢！,希望不太大
山东理科,18***58 (山东),2016-06-26 15:36,你好，超一本58分。省排名29712能否上贵校。,有希望进档的
河北考生，在专业选择时是否考虑农村独生子女加分？,86*** (河北),2016-06-25 10:46,你好，我是河北考生，裸分619，省排名13639，我是农村独生子女，在专业选择时是否考虑农村独生子女加分？我如果报贫困专项选择时是否考虑农村独生子女加分？报土木，电气自动化，机械自动化是否有希望？,考虑农独加分，报土木、电气、机械等专业有希望
河北理科,hb*** (河北),2016-06-25 09:30,总分608排名18092能报考贵学校吗,有希望进档
报考咨询,cy*** (河北),2016-06-25 09:28,您好，我是河北理科考生，考了613分，超本一线88分，省排名15965。不知能不能上贵校？若能上的话，可以选择什么专业？,有希望进档
四川理科女,17***9 (四川),2016-06-24 11:06,你好，请问我今年考了590.报考贵校的希望大吗？,有希望进档
提前批,bi***456 (河北),2016-06-24 09:44,提前批都是一般考生能报考？今年我考了569，能报考提前批吗,可以报提前批中外合作办学专业
唐山考生,su***g (河北),2016-06-24 09:35,今年本校理科计划数增加很多，怎样依据考生所在位次及差值报考本校？,理科估计600分左右
唐山考生,su***g (河北),2016-06-24 09:33,2016河北考生566分报考本校有希望被本校提档吗？如果提档，也服从调剂有可能被退档吗？,566分希望不大
老师，请问是不是只要服从专业调剂就不会被退档？,20*** (河北),2017-06-25 15:18,老师，请问是不是只要服从专业调剂就不会被退档？,服从专业调剂且体检符合所报专业要求
老师您好，我是河北考生，成绩566分，线差81分,13***18 (河北),2017-06-25 14:07,老师您好，我是河北考生，成绩566分，线差81分，位次23575，能否报考贵校？,有风险，建议结合往年成绩结合一份一档表比对位次。
天津理科生560分，能进河北工大吗,18***50 (天津),2017-06-25 14:02,老师，您好：我是天津理科考生，今年高考560分，能进河北工业大学吗？如果能进的话，有哪些专业能选择？专业志愿间有级差吗？谢谢！,作为首位冲一下专业建议结合往年成绩结合一份一档表比对位次。
天津理科,fl*** (天津),2017-06-25 13:53,老师您好，天津理科男，高考分数599，高出一本线78分，排名4092，请问报考贵校是否有希望？如果投档成功且服从调配，是否会被退档？,有希望。服从专业调剂且体检符合所报专业要求
河北考生599分，排名11030可以被录取吗?,as*** (河北),2017-06-25 11:22,高一本线114，哪些专业热门啊？,我校特色专业电气工程及其自动化，机械设计及其自动等专业。具体情况学校网站可详细查询。
汉语言和法学,ha***anxue (天津),2017-06-25 10:48,我是天津的学生文科546分，请问能上河北工大的汉语言和法学吗,有风险
报志愿,li*** (河北),2017-06-25 10:38,我是河北考生582分，一本线485，排名16470名，报考贵校有希望吗,有希望
请问本校预科录取线和本一线有联系吗,xj*** (河北),2017-06-25 09:39,或者说是低于本一线的成绩有多大把握被预科录取,请结合往年成绩结合一分一档表比对位次
河北张家口负责招生人老师电话是多少？,su*** (河北),2017-06-25 09:16,河北张家口负责招生人老师电话是多少？,60438029
老师您好！天津理工男生578分，位次6111，可以进档吗,ti***ensheng057 (天津),2017-06-24 15:45,老师您好！天津理工男生578分，位次6111，可以进档吗,有希望
中外合作,13***34 (山东),2016-06-28 16:09,老师你好：我是山东理科考生，请问一下，580分，42000名，能否报考贵校的中外合作办学？谢谢。,有希望
江苏考生,sl*** (江苏),2016-06-28 16:06,（1）355分，34662名能不能进档？（2）今年预估的进档线是多少？,可以报，分数有点偏低
山东理科,13***34 (山东),2016-06-28 16:01,请问老师：山东理科580分，位次42000，能否报我校的中外合作。,可以报
报考,ab***258147 (山西),2016-06-28 15:23,老师你好，我是山西理科考生，高考分570，高一本线51分，位次9588，报考贵校有希望吗？,有希望
江苏 入学,sq***851 (江苏),2016-06-28 15:22,你好！江苏理科考生成绩366.BB，请问有希望进入贵校吗？,有希望进档
天津少数民族考生,mf*** (天津),2017-06-27 09:11,天津市给的5分少数民族加分在贵校适用吗？,你所在省份承认您的加分，我校认可。
河北考生咨询,li*** (河北),2017-06-26 16:06,老师您好!我是河北理科考生，成绩是580分，省排名17506，想报河工大，录取可能性大吗，这个成绩可以报什么专业?谢谢老师!,这个分数很有希望
中外合作办学,gu*** (河北),2017-06-26 15:59,我是河北考生，理科555分，能考进中外合作办学吗,有希望。
河北文科考生咨询，谢谢,yu***5 (河北),2017-06-26 15:20,"我是河北文科考生，高考成绩572，超一本分数线55分，想报考本校冲一冲，请问是否有希望？另外想咨询一下，入学后可否可以调剂专业，‘’思想政治教育""专业是主攻哪方面？服从专业调剂是否不会被退档？费心了！谢谢！",可以冲一下，有希望。入学一年后可申请转专业。进档服从专业调剂且体检符合所报专业要求不会退档
优惠加分,15***61 (河北),2017-06-26 15:12,请问贵校专业是否承认农村独生子女优惠加分？,您所在省份承认您的加分，我校也承认
天津考生咨询,wj*** (天津),2017-06-26 13:36,老师您好，理科538分，能上你们学校吗,有风险
河北考生,su*** (河北),2017-06-26 12:40,河北理科516分，超一本线31分。能报咱们学校吗？,风险很大
录取几率,hu***66 (山西),2017-06-26 12:28,山西文科排位1965，请问报考贵校有希望吗,请结合往年成绩结合一份一档表比对位次。谢谢您的提问
报考,zh*** (河北),2017-06-26 11:59,老师好，本省考生超一批线90能进咱们学校吗？谢谢！,有希望
贵校有二本专业吗,zz***1 (天津),2017-06-26 10:48,贵校有二本专业吗，在天津招一本专业，在其他省份招收的是几本专业,在天津市没有二本专业
河北理科考生,zw*** (河北),2017-06-26 10:23,今年高考590分，位次13846，有多大希望报考贵校电气工程及其自动化？,可以冲一下，有希望
天津考生理科（男）,13***08 (天津),2017-06-25 16:58,请问：天津考生理科（男）574适合报考哪个专业,结合历年成绩和您的兴趣理性选择专业
咨询,ji*** (河北),2017-06-25 16:36,2017年新去廊坊分校吗？在哪个校区就读？,河北工业大学2017新生在天津校区
老师啊，求求你，回答我吧,20*** (河北),2017-06-25 15:45,是不是只要服从专业调剂就不会被退档,服从专业调剂且体检符合所报专业要求不会退档
某些专业招生计划缩减，主要原因？,hu***o (河北),2017-06-25 15:44,河北理587，哪些专业把握大些？某些专业招生计划缩减，主要原因？今年扩招力度减小，提档分会否增加？,今年招生计划与2016年基本持平，没有太大变化
入学,li*** (天津),2013-06-14 16:47,贵校工商管理按大类招生，入学后如何分配专业,按照大一一学年的学习成绩和个人志愿
艺术生,xi*** (山西),2013-06-14 14:48,您学校怎么现在还不发合格证呢？打电话也不通,我校不发合格证，合格考生名单已经上报到各省考试院
中外合作办学,gc***78 (内蒙古),2017-06-27 16:55,内蒙古，理科，549，全区排名7290，能报贵校计算机中外合作办学吗，谢谢,请结合往年成绩结合一份一档表比对位次。谢谢您的提问。
合作办学,nc*** (山西),2017-06-27 16:22,你好，山西考生516分能去中法合作计算机科学与技术专业吗？,请您结合近三年的该专业在山西招生分数，按照该省一份一档表填报志愿。
能否报考贵校,13***17 (山东),2017-06-27 16:20,山东理工科，597分能否报考贵校,结合近年一份一档表比对历年最低分档位情况，合理填报志愿。
山东理科,gg***h1123 (山东),2017-06-27 15:42,您好！山东理科考生598分17661名报考贵校有希望吗？请问如请果选择服从调剂那么会出现过提档线而退档的情况吗？,如果进档您服从专业调剂，身体条件符合所报专业要求，不会出现退档情况。
河南文科考生571分,gc***25560 (河南),2017-06-27 15:28,老师您好，我是河南文科考生，今年高考分数571分，高过一本线55分，全省排名4282，想报考贵校，有希望被录取吗?谢谢！,按近三年我校在河南录取最低分与控制线对比情况来看，有希望。
关于录取规则的疑问,de*** (福建),2017-06-27 15:16,1.贵校是否承诺服从专业调剂的条件下，进档不退？2.贵校在福建的调档比例是多少？3.贵校的专业级差是多少？,1、服从专业调剂体检符合所报专业要求不会退档。2、调档比例100%3、没有专业级差
报考咨询,37*** (天津),2017-06-27 14:58,老师您好，如果我报考贵校，且选择服从调剂，那么会被退档吗？谢谢老师,服从专业调剂且体检符合所报专业要求（普通专业）
中外合作,nc*** (山西),2017-06-27 14:46,你好，请问老师，我是山西考生，今年考了516分位次14787-15088，报中法合作计算机科学与技术专业能上吗？,请结合往年成绩结合一份一档表比对位次。谢谢您的提问。
天津理科考生,w2*** (天津),2017-06-27 13:40,请问服从调剂的专业范围是该校所有专业还是仅限天津招收的专业,仅在天津招收的专业内
报考问题,da*** (天津),2017-06-27 13:21,您好1、安全工程、测绘工程、工业工程、工程管理这些专业有硕士和博士授予权吗？2、大类招生入学后怎么分配3、2016、2015、2014年的提档线是多少,1和3问题均在我校招生网站可以查询zs.hebut.edu.cn，我校按大类招生只有材料一个专业大二学年进行专业分配专业有金属材料工程、材料物理、功能材料、无机非金属材料工程
四川考生 文科咨询,30*** (四川),2017-06-27 13:05,高于四川文科一本线27分，希望就读贵校，录取几率大吗,按前三年情况看，有希望
天津考生咨询,zm***219 (天津),2017-06-27 11:08,天津考生，理工科，分数596，位次4380，能否报考贵校电气工程与自动化专业？,可以放在首位冲一下
2017报考,qx*** (天津),2017-06-27 10:04,天津考生理科559分，想报贵校，希望如何。想报机械设计制造及自动化、电子科技与技术、计算机科学与技术专业希望如何。,平行志愿冲一下试试。
少数民族预科班,wa***91007 (河北),2017-06-27 09:29,您好，我是河北理科考生，比一本线少6分，可以报考贵校的少数民族预科班吗？录取的几率有多大？谢谢,风险很大
宿舍环境,wy*** (天津),2017-06-27 09:16,住宿条件怎样？几人间，有没有独立卫生间，是不是上铺下桌？,6人间上下铺没有独立卫生间
预科班,mo***45 (河北),2016-06-24 09:10,老师您好，我是河北省少数民族考生，高考分数567分，高于一本分数线42分，想报考该校预科班希望大吗？预科班的分数有什么具体要求？专业选择方面是否会有限制？,根据往年情况希望很大的预科班的专业是一年以后再分的
老师您好，请问河北理科生595分可以报贵校吗？,ke***eng123456 (河北),2016-06-23 15:15,老师您好，请问河北理科生595分可以报贵校吗？如果服从专业调剂，提档后有退档风险吗？学校不预留招生计划是什么意思能给讲解一下吗？谢谢。,可以冲一下学校，如果服从专业调剂的话，身体和政审合格的话，不退档。不预留招生计划，学校的提档比例为100%
河北文科552,zy*** (河北),2016-06-23 14:52,老师您好，我是河北衡水文科考生，今年高考分数552分，请问报考贵校劳动与社会保障专业有希望吗？,这个分数有点危险
吉林理科考生,en*** (吉林),2016-06-23 14:50,老师你好我是吉林考生579分，高一本线49分.请问报考学校的电气自动化和材料类有希望吗？,可以报一下有希望
我567能上河工大吗？,wg*** (河北),2016-06-23 11:48,我河北理科，省位次40000能上河工大吗？,希望不太大
我567能上河工大吗？,wg*** (河北),2016-06-23 11:44,我567能上河工大吗？,希望不太大
对于服从专业调剂的考生，身体条件也合格，是否不退档？,ga***g1997 (辽宁),2016-06-23 11:20,老师您好，我是辽宁理科考生，想问一下，贵校对于服从专业调剂的考生，身体条件也合格，是否不退档？,符合条件不退档
河北理科,30*** (河北),2016-06-23 11:06,我是河北理科考生，成绩599分。如果报考贵校有希望被录取吗？,有希望的冲一下
招生,wl*** (河北),2016-06-23 10:57,河北考生高一本线三十如果报中外合作办学有希望吗,有希望
河北理工,q8***1 (河北),2016-06-23 10:32,老师你好，我是河北考生，今年分数585，本一线525，。可以报考贵校吗？,可以考虑一下地方专项计划
甘肃理科,pe*** (甘肃),2016-06-23 10:16,老师您好，我是甘肃理科考生，比几年甘肃一本线高41分，报贵校优势专业的可能性大吗。另外，贵校录取模式是分数清还是专业请？,有希望进档，录取为分数优先
河北文科考生,ap*** (河北),2016-06-23 10:14,河北文科考生558分上你们学校的希望怎么样？,可以冲一下，希望不太大
请问2016年在河北招生的专业,yu***1123 (河北),2016-06-22 12:53,请问，是所有的专业都是在河北招生么？在天津招收的名额比河北多么？,所有专业都在河北招生，河北招生人数为3828人，天津招生人数400人
关于建筑学专业,ji***ei (河北),2016-06-22 11:37,我是河北考生，请问贵校2016年建筑学专业新生入学后，是否加试美术考试；将来毕业后发工学学士证书还是建筑学学士证书。,不加试美术，毕业后授予建筑学学士证书
关于退档,13***29 (河北),2016-06-22 09:37,河北考生，如果服从调剂，是否提档不退档？入学后是否可以转专业？,服从调剂，身体条件和政审合格的话，不退档；入学后有转专业的机会
江苏365，省20865能入吗？,wa***iu (江苏),2016-06-28 15:12,我是江苏考生，365分，省20865名，能上贵校吗？,有希望进档
我是否可以被录取,hk*** (贵州),2016-06-28 15:09,老师您好，我是贵州的考生，今年高考分数是525，超一本分数线52分，被录取希望大吗,有希望进档
山西文科女532分，特别喜欢贵校的的某些专业,sx*** (山西),2016-06-28 14:37,你好，老师。我是山西文科女532分，特别喜欢贵校的的某些专业，是否有冲进的可能？,有希望进档
