标题,来源,时间,问题,回答
录取,13***77 (天津),2018-06-26 11:29,天津理工位次5500，录取会被调剂吗,进档希望很大，要看填什么专业
通过了贵校自主招生如何填报高考志愿？,15***08 (江苏),2018-06-26 11:22,通过了贵校自主招生拿到了自主招生的加分填报高考志愿前有什么需要注意或申请的事项不？还是直接填写志愿？填写志愿是单独的网页吗？填写志愿有什么需要注意的事项？其他志愿怎么填注意什么？,按省招办要求填报
老师您好,15***68 (山东),2018-06-26 11:20,我是山东考生，文科592分，省排名7161名，能否被录取？会计学与法学两者概率大不大？,有难度
山东文科,15***98 (山东),2018-06-26 11:03,您好，我是山东文科考生。分数611，位次3260，请问报考贵校的可能性大吗?谢谢！,希望较大，欢迎
天津文科,15***34 (天津),2018-06-26 11:02,请问，文科569排名2545报考贵校有希望吗？谢谢,可以冲报
会计专业,zh***758@163.com (上海),2018-06-26 10:56,老师您好！我是上海考生，高考成绩519。想报考贵校常州校区会计专业，不知有希望吗,有希望
甘肃理科考生469分,13***64 (甘肃),2018-06-26 10:45,甘肃理科考生469分，比二本高33分，排名39867，报考贵校希望大吗？谢谢！,难度较大
志愿填报,13***59 (湖南),2018-06-26 10:45,湖南理科考生590分，省排14000多，录取希望大吗？有没有分数较低的专业推荐,难度较大
河南理科 专项计划,15***10 (河南),2018-06-26 10:25,分数568位次34856国家专项计划有希望上贵校吗,说不准
广西考生,13***38 (广西),2018-06-26 10:13,18年广西高考分数595，全区排名7599，录取水利工程专业或进档希望大吗？,进档有希望
关于录取的问题,17***21 (广西),2018-06-26 09:15,老师您好，我是一名广西的理科生，女，想询问您今年多少分以上可以报考你们学校，我成绩581超一本68，排名10866，报考贵校有希望吗，选哪些专业比较保险,可以冲报，有难度
位次咨询,13***27 (山东),2018-06-26 09:08,请问贵校的平均录取分数包括自招算出来的吗？如果不是自招生这个线录取概率大吗？,不含
宁夏录取,13***30 (宁夏),2018-06-26 09:08,老师您好，宁夏理科551分，全省排名2526名，可以填报贵校吗?录取概率大吗？,有希望，欢迎报考
山东文科考生596分省名次6041 是否有希望被贵校录取,15***67 (山东),2018-06-25 16:57,谢谢各位老师,可以冲报，有一定希望
河南考生,15***36 (河南),2018-06-25 16:53,河南考生601能上吗,文理？位次？
录取,15***29 (湖南),2018-06-27 11:07,老师您好，我是2018年湖南考生，高考成绩为596，请问第一志愿填报贵校是否有录取希望？,可以冲报试试
服从调剂是否进档不退,13***35 (河北),2018-06-27 10:23,服从调剂是否进档不退,是的
