标题,来源,时间,问题,回答
广西考生投档问题,14***47 (广西),2018-06-26 12:20,老师您好，请问贵校今年投档线是多少，实行什么原则？广西今年要分排位是否要比去年高？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
河南文科考生,18***58 (河南),2018-06-26 12:17,老师请问高于一本线14分有机会被贵校录取吗,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
2018年海南文科生地方专项政策,24***7@qq.com (海南),2018-06-26 12:04,地方专项政策对于海南文科考生大概能降多少分啊,要按照地方教育部门相关文件。
录取问题,17***30 (海南),2018-06-26 11:53,我是海南省文科659分，是否能上贵校？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
有关录取的问题,13***16 (湖北),2018-06-26 11:50,您好，我是湖北2018届文科考生，高考省排名3212，高出一本线49分，请问能报考贵校吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
退档,15***76 (云南),2018-06-26 11:39,服从调剂还会被退档吗？？？？,我校往年无退档情况，但是不做不退档保证。
志愿与分数,15***76 (云南),2018-06-26 11:38,志愿优先还是分数优先？,对于农科类专业我们遵循第一志愿优先原则，其他为分数优先。
财会二本专业在哪个校区啊，和本部有没有太大的不同,13***09 (四川),2018-06-26 11:27,财会二本专业在哪个校区啊，和本部有没有太大的不同,二本专业全部是在儋州校区，师资力量均为海南大学的教学团队。
2018专业级差,18***56 (贵州),2018-06-26 11:18,2018设置专业级差吗,对于实行平行志愿的省份，我校无专业分数级差。
关于专业,17***96 (海南),2018-06-26 11:13,请问在贵校第一年时可以改专业吗？,我校学生中第一学期成绩在所在专业前20%的有转专业资格。
有关录取的问题,13***16 (湖北),2018-06-26 11:02,您好，我是湖北2018届考生，高考省排名3212，请问能报考贵校吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
湖北理工578分能上吗?,15***35 (湖北),2018-06-26 10:57,湖北理工578分能上吗?可能性多大,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
高考志愿填报,98***@qq.com (湖北),2018-06-26 10:56,请问今年湖北考生文科606分填报贵校有希望录取吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
招生简章中专业代码和志愿填报专业代号,15***80 (山东),2018-06-26 10:31,老师：您好！招生简章上“会展经济与管理”专业代码：120903H，而学生拿到的高考志愿填报指南中“会展经济与管理”专业代号：26，填报志愿时一那个为准？,这个问题需要向贵省教育部门招生办咨询。
二本专业,18***98 (湖南),2018-06-26 10:16,湖南考生，高出湖南二本线21分，有机会报考贵校的二本专业吗？往年贵校的二本专业录取条件是什么？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！往年信息可以查询海南大学招生信息网。
福建录取,13***71 (福建),2018-06-27 16:36,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
您好,13***12 (上海),2018-06-27 16:28,请问上海考生，今年465，能否报考上贵校专业,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
志愿调剂问题,18***31 (云南),2018-06-27 16:15,您好，我是云南的考生，有强烈意向报考贵校，但是我要服从专业志愿调剂才有可能被录取，了解到贵校有中外合作办学专业，请问在服从志愿调剂时是否会被调剂至中外合作办学专业？,我校中外合作办学专业只招收有专业医院的考生，若你专业填报时没有填报相关专业，我们不会调剂到中外合作办学专业。
中外合作专业，不服从调剂会被退档吗,18***52 (广东),2018-06-27 16:06,中外合作专业，只想选其中一个，不服从调剂会被退档吗？如果必须服从调剂，可以转专业吗？,中外合作办学专业中，国际旅游学院的三个专业可以相互转专业，其他两个中外合作办学专业不接受转专业。如果你只填报一个志愿且不调剂，我们将完全按照择优录取原则，会有退档风险。
安徽理科排名25000，能够被贵校计算机或者软件类专业录取吗,15***47 (安徽),2018-06-27 15:48,安徽理科排名25000，能够被贵校计算机或者软件类专业录取吗,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
服从调剂问题,15***12 (重庆),2018-06-27 15:31,如果服从专业调剂，招生办会打电话询问该考生是否愿意就读调剂专业吗？调剂专业一般情况下是哪些？,我校不会电话询问考生是否同意调剂专业，详情请查询我校招生信息网相关文件。
录取,13***10 (四川),2018-06-27 15:29,老师好，我是四川文科考生，分数594，高出重本41分，排位3072，服从专业调配，报考本校有希望吗？能请您告诉我您往年在四川招生的最低位次吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！我校招生是按照成绩录取，我校只能看到各位考生的成绩，无法查到位次。
河南理工学生,32***1@qq.com (河南),2018-06-27 15:23,你好，河南理工学生，分数高于一本线30分，报贵校的园林专业二本能录取吗？园林专业发的是农学学士学位，将来可以考其他学校的工学学位的研究生吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！关于考研问题，可以考取其他学位的研究生。
请问贵校今年设专业极差吗,18***64 (湖南),2018-06-27 15:19,老师您好，我是湖南考生，理科总分556，超出一本线43分，位次29371，请问报考贵校被录取希望大吗?望解答，感谢。,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！关于级差，若贵省实行平行志愿，我校将不实行级差规则。
湖南考生，理科556分,18***64 (湖南),2018-06-27 15:19,老师您好，我是湖南考生，理科总分556，超出一本线43分，位次29371，请问报考贵校被录取希望大吗?望解答，感谢。,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
调剂专业和退档问题,13***04 (辽宁),2018-06-27 14:57,一二本合并的省调剂专业时，一本专业有可能调到儋州吧？另外如果招生计划满了，即使同意调剂，也有可能退档吧？以往这两种情况发生概率是多少？,你好，我校今年在辽宁只招收一本专业，不需担心调剂到儋州校区。如果所有专业都满足招生计划，我校将根据考生成绩进行择优录取，排名靠后的将会面临退档。我校往年没有退档情况，但是不做不退档保证。
湖南文科589,15***48 (湖南),2018-06-27 14:37,您好，我是湖南文科考生，589分，省排名8040，请问报考贵校有希望录取吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
安徽考生，男，理科，565分，填报你校工科专业，可填那些,aa***6.com (安徽),2018-06-27 14:28,想报：软件工程只招有专业志愿的考生是什么意思？还想报电子信息工程、电气工程及其自动化、生物工程,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！关于软件工程（NIIT）专业，如果没有填报，我校将不会将考生专业调剂为软件工程（NIIT）专业。
退档风险,15***86 (湖北),2018-06-27 14:13,老师你好，如被贵校提档，并服从调剂会被退档么,我校往年无退档情况，但是不做不退档保证。
山东文科597分，能否被贵校录取,14***9@qq.com (山东),2018-06-27 13:41,您好，本人今年高考分数为597分，请问能否报考并被贵校录取?十分感谢！,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
关于河南考生的退档问题,18***13 (河南),2018-06-26 17:40,老师好，我是河南省的考生，今年想报考贵校的二本专业，请问如果我填报了贵校，但是如果分数不够我想上的专业，但是又不服从调剂，那么会被退档吗？,会
河南理科,18***43 (河南),2018-06-26 17:27,河南理科生今年501分报考贵校有希望吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
河南理科,18***43 (河南),2018-06-26 17:25,河南理科生今年501分报考贵校有希望吗？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
招生政策咨询,13***68 (重庆),2018-06-26 17:07,请问中外合作办学项目专业志愿有级差规定吗？是否只录取填报的专业？,我校对实行平行志愿的省份招生时无级差规定，专业调剂只在几个中外合作办学专业中。
河南的,10***4@qq.com (河南),2018-06-26 16:58,河南一本线499，我儿子533，不知能否一批？,欢迎报考海南大学！针对分数线和填报录取等问题询问统一：今年分数线尚未公布，我方无法给予确切答复，招生计划和往年相关资讯请各位考生和家长查询官网文件，谢谢合作！
