标题,来源,时间,问题,回答
自主招生如何填报该校,13***29 (江西),2018-06-26 11:47,你好，我是江西理科考生，分数606，排名7554，通过了湖大的自主招生，电子科学与技术，意向报湖大，不知如何填报，有什么注意事项，与一般志愿填报有什么不同,考生你好，祝贺你通过我校自主招生考试。考生志愿系统归各省考试院管理和维护，有关问题请咨询江西省教育考试院。欢迎你报考湖南大学！
录取咨询,13***01 (海南),2018-06-26 11:40,海南考生理科745分，全省701名，报考贵校金融专业或计算机专业，录取可能性大吗,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数具有较强的竞争力，建议你将心仪的专业靠前填报，以增加被心仪专业录取的机会。欢迎你报考湖南大学！
2018年湖南大学建筑设计专业在广东招生的分数,26***2@qq.com (广东),2018-06-26 11:33,你好，请问我今年在广东高考成绩585分，省排名13419名，能被贵校建筑设计专业录取吗？,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数与录控线基本持平。建议你将我校靠前填报并将心仪的专业靠前填报，且服从专业调剂，以便增加被我校录取的机会。欢迎你报考湖南大学！
湖南的考生,11***7@qq.com (湖南),2018-06-26 11:06,我高考分是598分请问可以进贵校吗？,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数与我校录控之间还有一定差距，建议你将我校靠前排列冲一下，欢迎你报考湖南大学！
云南考生超线46分报贵校预科希望大吗，去年你们预科班分数是多,15***85 (云南),2018-06-26 10:56,云南考生超线46分报贵校预科希望大吗，去年你们预科班分数是多,考生你好，感谢你选择湖南大学。我校在各省预科招生人数较少，分数波动较大，因而暂未统计去年录取分数线，请综合考虑之后谨慎填报。
云南考生超线46分报贵校预科希望大吗,15***85 (云南),2018-06-26 10:52,云南考生超线46分报贵校预科希望大吗,考生你好，感谢你选择湖南大学。我校在各省预科招生人数较少，分数波动较大，因而暂未统计去年录取分数线，请综合考虑之后谨慎填报。
湖南考生,13***35 (湖南),2018-06-26 10:50,您好我是湖南文科考生，总分638，排名一千一百多，有机会被贵校录取吗？,考生你好，感谢你选择湖南大学。按照往年的录取情况，你的分数与我校录控之间还有一点差距，建议你将我校靠前排列冲一下。欢迎你报考湖南大学！
录取,18***00 (广西),2018-06-26 10:49,广西理科，569，排名13844，希望大不,考生你好，感谢你选择湖南大学。按照往年的录取情况，你的分数与我校录控之间还有一定差距。
甘肃理工类考生592分，3650名，可以报贵校吗,18***59 (甘肃),2018-06-26 10:42,甘肃理工类考生592分，3650名，可以报贵校吗,考生你好，感谢你选择湖南大学。按照往年的录取情况，你的分数与我校录控持平但略低，建议你将我校靠前排列并服从专业调剂，以便增加被我校录取的机会。欢迎你报考湖南大学！
录取咨询,15***4@qq.com (新疆),2018-06-26 10:09,新疆考生613分，位次1648，能否被贵校金融专业录取,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数具有一定的竞争力，建议你在平行志愿的前提下将我校靠前填报并服从专业调剂，以便增加被我校录取的机会。欢迎你报考湖南大学！
农村专项录取,13***34 (江苏),2018-06-26 10:03,我是江苏考生，今年获得了湖南大学农村专项资格，理工科，高考成绩367，理化双A+，排位15800，有望被录取吗，谢谢。,考生你好，感谢你选择湖南大学。按照往年的录取情况，你的成绩与我校录控之间还有一定差距。高校专项计划因为我校在各省招生计划较少，因而难以估计今年的录取情况。此外，选考科目等级在投档时不作为考虑因素，在分专业时会按A+加3分A+加1分的政策执行，请知悉。欢迎你报考湖南大学！
农村专项,13***78 (山东),2018-06-26 10:01,我是山东文科考生，通过了贵校农村专项，请问高考成绩587，名次8666报贵校有希望吗？,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数与录控之间还有一定差距，因我校高校专项计划在各省招生人数较少，因而难以估计今年的录取情况。建议你综合考量之后慎重选择。欢迎你报考湖南大学！
咨询,13***07 (北京),2018-06-26 09:53,老师好，我是北京考生，分数627，排名4803，请问是否有机会被金融专业录取？,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数处于与录控线持平但略高的位置，建议你将心仪的专业靠前填报，以增加被我校录取的机会。欢迎你报考湖南大学！
建筑,nm***6.com (河北),2018-06-26 09:37,美术基础怎么掌握,考生你好，感谢你选择湖南大学！我校要求有美术基础是为了今后的日常学习考虑，这一要求不作为高考录取的依据，也不会进行量化考核。欢迎你报考湖南大学！
山东考生咨询,18***69 (山东),2018-06-26 09:14,山东理科考生623分，省位次9983，报贵校，服从调剂有希望吗？,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数处于与录控持平但是略高的位置，因而在专业选择上范围较小。建议你将我校靠前填报且服从专业调剂，以便增加被我校录取的机会。欢迎你报考湖南大学！
福建录取,13***71 (福建),2018-06-27 16:32,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,考生你好，感谢你选择湖南大学！按照往年的录取情况，你的分数处于与录控线持平的位置，建议你将我校靠前填报并服从专业调剂，以便增加被我校录取的机会。欢迎你报考湖南大学！
