标题,来源,时间,问题,回答
报考咨询,13***55 (河南),2018-06-27 16:45,老师您好，我是河南文科生，601分，外语141分，高一本线54分，排名在4905名，报贵校有希望吗？另外学校的考研情况怎样？谢谢,你好！请结合我校历年录取情况自行综合定夺。考研情况请咨询我校研究生院。
福建录取,13***71 (福建),2018-06-27 16:33,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,你好！请结合我校历年录取情况自行综合定夺。
湖南2018理科考生,13***53 (湖南),2018-06-27 16:30,请问我的分数为601分，能上湖南师范大学吗,你好！请结合我校历年录取情况自行综合定夺。
地方专项计划,15***22 (湖南),2018-06-27 16:25,湖南考生如果走地方专项计划报考贵校门槛能低多少,你好！我校地方专项录取政策依据湖南省教育厅及湖南省考试院公布的相关政策执行。
地方专项,17***59 (湖南),2018-06-27 16:25,是不是湖南农村考生在湖南都有地方专项的资格,你好！具体政策请查阅湖南省教育厅、湖南省考试院公布的相关文件。
录取,13***81 (湖南),2018-06-27 15:59,您好，请问湖南理科585，位次17000左右报考贵校希望大吗,你好！请结合我校历年录取情况自行综合定夺。
湖南文科国家专项,15***59 (湖南),2018-06-27 15:43,湖南文科民族加分619分3085名如果通过国家专项可以报考么,你好！请结合我校历年录取情况自行综合定夺。
辽宁理科考生,10***7@163.com (辽宁),2018-06-27 15:29,老师您好！我是辽宁理科考生，591分，位次14345，能够报考怎么学校吗？可以选择哪些专业？,你好！请结合我校历年录取情况自行综合定夺。
湖南理科考生533,18***97 (湖南),2018-06-27 15:25,请问有希望录取到湖南师范大学么？有贫困和地方专项，有一半的概率么？,你好！请结合我校历年录取情况自行综合定夺。
什么情况会退档,13***27 (江西),2018-06-27 14:34,学校按110%提档，是不是踩线的很容易被退档,你好！我校招生章程中有明确：“提档比例不超过我校在该省（自治区、直辖市）招生计划数的110%”、“考生所有专业志愿都无法满足时，若服从专业调剂，则将考生调剂录取到其他缺档专业。”。
退档,13***25 (江苏),2018-06-27 13:39,老师，请问你校服从专业调剂会退档吗,你好！我校招生章程中有明确：“考生所有专业志愿都无法满足时，若服从专业调剂，则将考生调剂录取到其他缺档专业”。
请问能否录取,18***04 (贵州),2018-06-27 13:15,请问贵州考生，文科生，考了619，含民族加分10分，全省排位2902，能被贵校录取吗？,你好！请结合我校历年录取情况自行综合定夺。
专业,15***96 (湖北),2018-06-27 12:57,请问贵校录取后可以转专业吗？如何转？有何要求？,你好！转专业政策请咨询我校教务处。
湖南考生 报考咨询,13***10 (湖南),2018-06-27 12:27,请问，湖南考生608分，全省排名9472，有希望进贵校英语师范专业么？,你好！请结合我校历年录取情况自行综合定夺。
投档与录取,17***59 (湖南),2018-06-27 12:22,老师你好:如果该校投档进了，是否能一定录取呢,你好！我校招生章程中有明确：“考生所有专业志愿都无法满足时，若服从专业调剂，则将考生调剂录取到其他缺档专业”。
咨询,gk*** (河南),2017-06-27 16:53,如果面试没有参加，但前期资格审核通过，能否利用湖南师范大学高校专项计划考到贵校？,不能。
关于录取、校区、专业的疑问,de*** (福建),2017-06-27 15:13,1.贵校是否承诺服从专业调剂的条件下，进档不退？2.贵校3个校区之间有何区别？3.贵校的专业是否有定向就业限制？,进档后专业服从调剂，体检合格，投档不退档。我校共有7个校区，具体可在官网上了解。我校有定向专业和非定向专业。定向就业的进校签订协议，非定向自主择业。
关于服从专业调剂的问题,wh***8 (山西),2017-06-27 14:48,服从专业调剂是在所报的专业里调剂，还是在学校招生的所有专业里调剂,在我校当年在该省招生专业里调剂。
报考教育学,76***y (山西),2017-06-27 14:43,请问报考教育学可以从事中学文科综合科目（历史，政治，地理）的教学吗？谢谢！,非定向专业自主择业。
身高要求,mo*** (陕西),2017-06-27 12:51,请问贵校对考生身高有要求吗,您好，我校某些艺术类专业对身高有要求，但已在校考时通知各位考生。
老师您好，请问内蒙考生民族预科班结业后能选择那些专业？谢谢！,zf*** (内蒙古),2017-06-27 12:20,老师您好，请问内蒙考生民族预科班结业后能选择那些专业？谢谢！,我校没有内蒙古预科班。
山东文科考生,xi***g0821 (山东),2017-06-27 12:14,老师好，文科2300报考贵校如何？能选专业吗？专业设有级差吗？贵校有没有比较好的文科专业？谢谢~~~~~,你好，我校历年分数线在我校招生信息网公布，你可以以往年分数线作为参考。我校不设专业级差。
非师范可以转师范,13***22 (江西),2017-06-27 11:17,你好，我想问下，如果上了贵学校的非师范专业，可以转成师范专业吗,转专业事宜进校后咨询教务办。
招生计划,54*** (福建),2017-06-27 11:12,请问贵校在福建省提前批招生计划为6人（未注明师范类，数学与应用数学专业及化学专业），请问这6个名额招收的是师范生吗？,您好，为师范类。
报考,lw*** (山西),2017-06-27 11:01,我是山西理科考生，今年分数526，想报考贵校师范类专业，有希望录取吗,你好，可以在我校招生信息网查看历年录取分数，以往年录取分数做为参考。
咨询,li*** (黑龙江),2017-06-27 10:39,你好，我是黑龙江理科女，569分，超一表114分，位次7383，进贵校的希望大吗，谢谢。,你好，可以在我校招生信息网查看历年录取分数，以往年录取分数做为参考。
咨询,ry*** (辽宁),2017-06-27 10:38,请问老师，贵校提档以后，如果报考的专业分不够，服从调剂的话，有可能退档吗,进档后，专业服从调剂，投档不退档。
广西文科,ji*** (广西),2017-06-27 10:20,广西文科593，排位1230位，线差58，报考贵校希望大不？贵校较好的文科专业是？宿舍是几人间？有独卫否？,你好，可以在我校招生信息网查看历年录取分数，以往年录取分数做为参考。我校共有7个校区，本部有三个主宿舍区，分别为江边、天马、南院宿舍区。
广西文科,ji*** (广西),2017-06-27 10:20,广西文科593，排位1230位，线差58，报考贵校希望大不？贵校较好的文科专业是？宿舍是几人间？有独卫否？,你好，可以在我校招生信息网查看历年录取分数，以往年录取分数做为参考。
入学后有机会调专业吗,dd*** (黑龙江),2017-06-27 10:12,入学后有机会调专业吗，调整到报的志愿但分数不够的上面,入校后，大一第一个学期期末可由学生提出转专业申请，参加笔试面试考核。
陕西文科考生,18***50 (陕西),2018-06-27 09:14,位次2054，可以上贵校吗？如能上可以上哪个专业,你好！请结合我校历年录取情况自行综合定夺。
录取问题,15***94 (河北),2018-06-27 09:13,本人系河北文科考生一名，高考分数630，被贵校录取的可能性大么？贵校今年预估投档线大概多少呢？,你好！请结合我校历年录取情况自行综合定夺。
咨询,18***17 (山西),2018-06-27 09:09,老师您好。我是山西考生，理科，565分，报考本校把握有多大？,你好！请结合我校历年录取情况自行综合定夺。
湖北考生咨询，谢谢！,13***99 (湖北),2018-06-26 16:52,您好！我是湖北文科考生，想报考贵校，参考资料发现学校从2015到17年的位次值变化较大，所以想请问一下文科598能否申请报考，谢谢！,你好！请结合我校历年录取情况自行综合定夺。
江西文科生咨询,18***46 (江西),2018-06-26 15:35,您好，请问文科611分，排名1955，报考贵校法学有希望吗？,你好！请结合我校历年录取情况自行综合定夺。
录取咨询 广西考生女,15***57 (广西),2018-06-26 15:32,老师好，我是广西理科考生，高考分数是576，比一本高出63分，排名12040，请问可以录到贵校吗？如果可以，应该报选哪些专业呢？,你好！请结合我校历年录取情况自行综合定夺。
录取咨询 广西考生女,15***57 (广西),2018-06-26 15:29,老师好，我是广西理科考生，高考分数是576，比一本高出63分，排名12040，请问可以录到贵校吗？如果可以，应该报选哪些专业呢？,你好！请结合我校历年录取情况自行综合定夺。
海南理科生,18***90 (海南),2018-06-26 14:47,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,您好。请前往我校招生信息网查看历年分数及分差。
入校后的转专业问题,15***94 (河北),2018-06-26 13:47,贵校在河北省招收的汉语言文学只有师范类，那么在入校后是否有机会转入汉语言非师范类？,我校汉语言文学非师范类只有汉语言文学（基地班），进校后学院会组织全校范围选拔。
咨询,18***44 (河北),2018-06-26 12:08,老师，您好，我是河北石家庄的理科生，高考成绩为588分，请问报考贵校录取的几率大吗？,您好。请前往我校招生信息网查看历年分数及分差。
湖南文科597，排名6411，能报公费师范生吗,15***32 (湖南),2018-06-26 11:59,湖南文科597，排名6411，能报公费师范生吗,您好，公费师范生在我校是第一年招生，无前期可参考数据。但为提前批志愿，不影响后期本科一批填报，建议你可进行填报。
