标题,来源,时间,问题,回答
少数民族预科生问题,qq***3 (贵州),2017-06-26 12:56,本人今年贵州考生，文科538，差一本线7分，能否进入该校少数民族预科班,我校预科无文科招生计划。欢迎报考电子科技大学。
江西理科考生,zy*** (江西),2017-06-26 12:31,老师好，请问：江西理科考生分数595，排名3900，有希望考上贵校吗？,可以登录www.zs.uestc.edu.cn查询我校前几年的录取分数作为参考。
录取几率,hu***66 (山西),2017-06-26 12:15,山西文科排位1960，请问报考贵校有希望吗,可以登录www.zs.uestc.edu.cn查询我校前几年的录取分数作为参考。
咨询,su*** (河南),2017-06-26 11:49,老师，你好，我考584用国家专项报贵校有稳妥把握吗？在你们的分校区呢？,可以登录www.zs.uestc.edu.cn查询我校前几年的录取分数作为参考。
贵校的合作办学格拉斯哥学院毕业证是否和本校一样不注明合作办学,wm*** (天津),2017-06-26 11:41,四年是否全英文教学？三年级对雅思成绩有要求吗？学生待遇与一般的电子科大学生有无区别？用人单位对毕业生反馈如何？谢谢老师,除了个别课程外，所有课程都是全英文教学，升大三之前必须通过雅思6.0，学生待遇与其他学生吴区别，学位证和毕业证与普通学生无区别，首届毕业生深造率80，出国深造率60%。欢迎报考电子科技大学。
报考问题,wa*** (河南),2017-06-26 11:22,我们是河南的理科考生，608分，省排名在5200-5300，报这个电子科学与技术转专业有希望么？以后可以根据在学校表现，争取到精英培养计划么？,我校电子科技大学代码去年在河南招收最低分排名在6000左右，建议适当避开热门专业，避免因为专业极差导致专业调剂。进校后有机会进入到“成电英才计划”实验班。欢迎报考电子科技大学！
山东考生咨询,ga*** (山东),2017-06-26 10:52,山东考生位次4032，报考本校通信工程、微电子这2个专业，录取率大吗,可以登录www.zs.uestc.edu.cn查询我校前几年的录取分数作为参考。
专业咨询,yj***25 (浙江),2017-06-26 10:16,今年在浙江有招“电气工程及其自动化”这个专业吗？有的话是几个？谢谢,您好，我校在浙江没有投放“电气工程及其自动化”专业的计划
请问老师能否通过国家专项计划被贵校录取？,14***5 (河南),2017-06-26 09:58,老师好，我是河南的一名考生，今年考602（河南一本线484，高出118分），请问老师我能否通过国家专项计划被贵校录取？谢谢老师。,符合国家专项报考条件就可以报考我校。欢迎报考电子科技大学。
报考,17*** (天津),2017-06-26 09:57,老师您好，天津理科男587分，排名5180名，报考格拉斯哥学院能否录取？还有毕业证和本校是否一致，毕业证上会不会有合作办学或者格拉斯哥的字样？,您好！进入电子科技大学格拉斯哥学院还是有希望的。格拉斯哥学院的毕业生获得的毕业证书和“电子科技大学”代码中专业的毕业生获得的毕业证书是一致的，不会标注中外合作办学，也不写学院名称。
贵州考生,wz*** (贵州),2017-06-26 09:54,贵州考生573分，位次3417，可以报考贵校吗，服从调剂,您好！欢迎报考电子科技大学。根据您的位次和历年录取情况，建议您A志愿填报电子科技大学，还是有希望进入我校就读的。
报考,g2*** (山西),2017-06-26 09:48,老师您好，我是山西理科生，高考分数是543，省排名8072，我想问一下我的成绩能冲刺贵校吗？,可以登录www.zs.uestc.edu.cn查询我校前几年的录取分数作为参考。
