标题,来源,时间,问题,回答
招生信息,87*** (湖南),2013-06-26 16:05,我是湖南的一名考生，我的文化是416，体育专业是251.在湖南2013年的体育文化线是368，我的文化过了，但体育一本专业线是259.就是我的专业少了8分。那我可以报考贵校吗？,你好！湖南不招体育教育。
河南考生,10*** (河南),2013-06-26 15:56,高出一本线6分可以报机械设计制造及其自动化吗,你好!可以报考。
考生求解,37*** (河南),2013-06-26 15:15,河南考生理科518报贵校有希望吗？求解,你好！高13分有一定希望。
咨询,wm*** (贵州),2013-06-26 14:29,你好，我是贵州少数民族理科考生，考分550，高出一本分数线101分，全省排名3582名，请问有机会被贵校录取不？谢谢,你好！我校在贵州目前只招二本，建议你报考别的一本学校吧。
陕西理科考生,77***huang (陕西),2013-06-26 14:27,老师您好，我过二本39分，能上什么专业，为什么贵校没有口腔医学，或者是医学检验技术呢？,你好！医学类在一本招生，目前陕西只能招二本。
我是山东理科考生，分数超过一本线21分,ws*** (山东),2013-06-26 13:56,您好。我是山东理科考生，分数超过一本线21分，请问报考贵校有希望吗？贵校的投档比例是？,你好！高21分有一定希望，投档比例根据生源情况设定。
河南考生,ya***0001 (河南),2013-06-26 13:15,河南考生，理科，高考分数470分，二本分数线443分，真的特别想上贵校，想报考贵校的机械设计及其自动化，给水排水与工程，请老师参考一下，谢谢,你好！机械设计及其自动化，给水排水与工程在一本招生，你的分报不了。
能否录取,yu***4 (河北),2013-06-26 13:15,老师，您好，我是河北考生，本二超出56分，请问报考贵校的国防生有多大希望。谢谢答复,你好！要看其他报考国防生的同学的分数。
咨询,wm*** (贵州),2013-06-26 13:11,你好，我是贵州少数民族理科考生，考分550，高出一本线101，能不能被贵校录取？谢谢,你好！报考我校很有希望，但建议好好报一下一本计划。
咨询,ya***0001 (河南),2013-06-26 12:58,你好河南理科470想报贵校土木工程专业，有希望吗？,你好！土木工程在一本招生，你报不了。
山东理科生，高考分数462分,gr***yt (山东),2013-06-26 12:56,山东理科生，高考分数462分，想报考贵校，专业不限，请老师参考一下，谢谢,你好！能达到你省二本线就有一定希望。
咨询,ya***0001 (河南),2013-06-26 12:45,你好河南理科470想报贵校工科专业，有希望吗？,你好！二本工科专业很少。
咨询,ya***0001 (河南),2013-06-26 12:38,河南考生，理科，高考分数470分，二本分数线443分，想报考贵校水利水电工程，请老师参考一下，谢谢,你好！水利水电工程是一本专业，你报不了。
黑龙江理科483能进贵校二表吗,xi***ixun (黑龙江),2013-06-26 10:25,老师您好，我是黑龙江理科生，483分，超过二表线46分，想报贵校二表有多大把握？,你好!非常有希望。
咨询,ya***0001 (河南),2013-06-26 10:19,河南考生，理科，高考分数470分，二本分数线443分，想报考贵校，请老师参考一下，谢谢,你好！有一定希望。
问题,05***5 (陕西),2013-06-27 12:59,我是陕西考生，陕西一本线是485，二本线435.我考了474，请问能报考贵校什么专业？,你好！你的分数很有希望。
你好我是河南考生考452报你们学校医学或经济类的能报上吗,93*** (河南),2013-06-27 12:59,你好我是河南考生考452报你们学校医学或经济类的能报上吗,你好！没上你省一本线希望不大。
陕西考生,di***ngshiji (陕西),2013-06-27 12:47,您好，文科考生383分能否上贵校的专科护理专业？,你好！我校护理专科只招理科。
内蒙古理科,li***24 (内蒙古),2013-06-27 12:24,老师您好我是内蒙古理科考生成绩498高出一本线16分请问能否报入贵校？若能能报什么样的专业？,你好！高一本线16分很有希望上我校。
老师你好！湖南文科生,nr***011 (湖南),2013-06-27 11:53,我是一本超过一分，请问有希望录信息管理与信息系统吗？,你好！信息管理与信息系统是二本专业啊。
咨询！,21*** (山西),2013-06-27 11:42,你好！我是山西理科考生，今年考了517分，高一本线24分，报考贵校有希望么？,你好！高一本线24分很有希望。
是否能录取,zy***46446 (河南),2013-06-27 11:39,我是河南文科考生，高考成绩506分，超出二本线40分，是否能报考贵校？能报考具体什么专业？,你好！河南二本文科只有两个专业，高40分很有希望。
报考咨询,87*** (湖南),2013-06-27 11:08,我是湖南的一名理科体育考生，湖南一本文化线368，体育专业为259，本人文化416，专业251，距离本省一本专业少8分，请问，可以报考贵校吗？,你好！湖南不招体育教育。
咨询,hu***1 (河南),2013-06-27 11:08,河南理科502可以报贵校二本哪些专业？,你好！502接近一本线了，二本专业想报哪个都可以报。
