标题,来源,时间,问题,回答
贫困专项,15***65 (湖南),2017-06-28 15:52,请问1通过贫困专项进入贵校的能否转专业，2是否能跨院系转专业,可以，和其他统招学生一样享受同等转专业政策。
老师您好，我是山西文科考生,xu***017 (山西),2017-06-28 15:46,考分556，一本线518，全省排名1502名。报考贵校哪些专业比较有希望？,我校去年在山西最低录取到2000名左右，你这个排名完全可以根据自己的兴趣爱好填报专业志愿。
贵州考生,yy*** (贵州),2017-06-28 15:46,老师您好！我是贵州理科考生，分数534，位次9772，报考贵校有希望吗？,有希望，我校去年在贵州最低录取到9800名左右。
贵州报考咨询,fe*** (贵州),2017-06-28 14:38,老师你好，我是贵州理科考生，529分，排名10832，请问有机会被贵校录取吗？,可以冲一下，我校去年最低录取到9800名左右，关键要看今年考生报考我校的总体情况。
福建理工考生,li***5 (福建),2017-06-28 14:32,排名12898有望能进福州大学吗,可以冲一下，但估计希望不大。如果感兴趣且家庭经济条件允许的话，可以考虑单列代码招生土木工程（中外合作办学）。
广西理科考生,ns***1414 (广西),2017-06-28 12:42,您好，广西理科569分，排名3846-3728，是否可报考贵校机械专业？,这个排名把握非常大，完全可以根据自己的兴趣爱好填报专业志愿。
录取咨询,yc*** (福建),2017-06-28 12:41,老师：您好！我是福建考生，理科553分，排5112名，第一志愿想报财务管理专业，被录取希望大吗？,有希望，该专业去年最低录取到5300名左右。关键是二到六专业要有梯度，并服从调剂。
高考咨询,xq*** (安徽),2017-06-28 12:04,老师您好，请问贵校在安徽文科的录取位次在什么范围？大致悬殊多少名可以考虑冲一冲？谢谢。,我校文科去年在安徽最低录取到1900名左右，前年则录取到2100名左右，供你参考。
志愿填报,yc*** (福建),2017-06-28 11:26,请问贵校今年是否有专业极差？能否详细说明一下？,我校普通类不采用级差模式，而是所有考生的第一专业都绝对优先，第二到第六专业平行。
咨询,wy*** (上海),2017-06-28 11:17,老师，您好！上海考生500分，排名14000，上海今年不分文理科。请问能否被贵校录取？谢谢！,正是因为综合改革第一年，往年的数据没有什么参考价值，所以不好判断。从之前模拟演练的情况来看，这个分数报我校还是很有把握的。
报考咨询,fe*** (贵州),2017-06-28 11:16,老师您好，我是贵州理科考生，529分，超出一本线73分，排名10832，请问有机会被贵校录取吗？,可以冲一下，我校去年在贵州最低录取到9800名左右。
西藏考生,12*** (西藏),2017-06-28 11:15,西藏理科考生548分，报考贵校希望大吗,不知道西藏招办是如何分配汉族、藏族考生比例的，无法提供建议，我校去年在西藏汉族学生的投档线是526分，供你参考。
填报专业,lf*** (新疆),2017-06-28 11:08,您好，我是新疆民考汉理科考生欲报考贵校，可是贵校在新疆民考汉招生计划上专业为空，只有说明预科结业后再分配专业，请问在志愿表上该如何填写专业栏？不填会退档吗？谢谢！,应该是直接填少数民族预科班即可，具体请向新疆招办咨询，不填好像不行。
报考咨询，山东考试,li*** (山东),2017-06-28 10:51,山东文科考生，分数575，全省排名5285，是否可以报考福大？如可以报考福大，如何选择专业？财务管理、金融学、物流工程，这三个专业可以报吗？,当然可以报，我校去年在山东最低录取到6200名左右。可以按照自己的兴趣爱好填专业志愿，注意拉开梯度并服从调剂即可。
录取咨询,wy*** (上海),2017-06-28 10:46,老师，您好！上海考生500分，排名14600，上海不分文理科，请问能否被贵校录取？谢谢！,高考综合改革第一年，往年的录取分数没有太大的参考价值，我们也不知道会录取到多少。
老师你好,13***70 (福建),2018-06-25 11:37,我是福建考生今年考566有希望进贵校的英语专业吗,关键要看排名，我校英语专业去年在省内最低录取到9800名左右，供你参考。
河南理科,18***57 (河南),2018-06-25 11:30,588分排名两万二报贵校有希望吗,估计有困难，我校理科去年在河南最低录取到17400名左右。两万二可以考虑一下我校单列招生的地矿类专业。
录取,13***89 (辽宁),2018-06-25 11:08,辽宁理科生597，可以报贵校吗？,关键要看排名，我校理科去年在辽宁最低录取到12700名左右，供你参考。
陕西理科,18***33 (陕西),2018-06-25 10:46,老师：您好陕西理科580/位次12000可以报考贵校吗，谢谢老师。,有希望，我校理科去年在陕西最低录取到12300名左右。
贵州考生,18***56 (贵州),2018-06-25 10:45,请问贵校2017年在贵州招收理科考生的位次是多少，今年我儿子理科考581，排8293，请问能报考贵校吗？,希望很大，我校理科去年在贵州最低录取到9800名左右。
录取咨询,18***19 (福建),2018-06-25 10:34,本省考生理科56611103名可报福州大学么可报的话推荐什么系呢,可以报，我校理科去年在省内最低录取到11600名左右。专业上建议避开那些所谓的热门专业，并服从调剂。
老师您好，我是陕西理科考生,15***88 (陕西),2018-06-25 10:33,总分560，高一本线86分，排名一万六千八，有希望进土木工程吗,估计有困难，我校理科去年在陕西的出档线大概在12500名左右，供你参考。
甘肃考生,18***05 (甘肃),2018-06-25 10:30,甘肃考生，理科565分，位次7272，能保证所报专业被录取吗？,希望很大，我校理科去年在甘肃最低录取到8800名左右。
