标题,来源,时间,问题,回答
志愿优先原则,13***56 (山西),2018-06-23 09:58,老师好，我是山西考生，贵校招生简章说“按志愿优先”，请问在山西也是这样吗？谢谢,普通类专业，进档考生专业安排原则：按“分数优先”的原则安排录取专业。进档考生在安排专业时，按实际投档成绩从高到低排序。实际投档成绩是由生源地省级招办按投档规则生成的、在我校接收的考生电子档案中实际呈现的投档成绩（含小数部分）。
级差,ak*** (河南),2016-06-27 13:55,老师您好，请问贵校专业级差是多少？谢谢老师。,苏州大学没有专业级差。
河南理科,20*** (河南),2016-06-13 15:11,请把近几年在河南录取理科考生的分数位次说明一下吧？,您可参考我校历年录取分数：苏州大学在河南省历年录取分数
甘肃文科,94*** (甘肃),2016-06-13 10:02,我是甘肃省一名文史类考生，今年高考估分585左右，高出一本线60多分，请问可以报考贵校吗？可以报考贵校的什么专业？谢谢！,可参考我校历年在甘肃省招生情况，具体可到苏大本科招生网（zsb.suda.edu.cn），历年分数栏内查询。
能否报考,hz*** (湖北),2015-06-23 09:27,我是湖北考生，552分可报苏州大学吗？,获取详细的往年录取分数，请点击链接：http://zsb.suda.edu.cn/markHistory.aspx
录取咨询,18***29 (辽宁),2018-06-28 16:48,老师您好！我是辽宁文科考生，596分，1628名（全省共58768名文科考生），请问有希望被贵校汉语言文学专业录取吗？谢谢！,您好，参考往年，录取有风险
苏州本地考生,13***62 (江苏),2018-06-28 16:46,您好，江苏考生，理科355分，排名31599选测AB，进苏州大学希望大吗？谢谢！,您好，参考往年，录取有风险。可考虑我校中外合作办学专业。
人工智能实验班,13***30 (辽宁),2018-06-28 16:32,请问老师，新生人工智能实验班选拔，具体选拔流程及考试内容，谢谢,您好，去年我校从计算机科学与技术专业、电子信息学院、数学科学学院、物理科学与技术学院、能源学院、光电科学与工程学院的2016、2017级本科生中进行选拔，每个年级选拔人数为30人。仅供参考。今年的政策入学以后才能知道。
江苏理科女生 363分 物理A+ 生物 A,13***05 (江苏),2018-06-28 16:32,进档有希望吗？,您好，参考往年，录取有很大希望，且今年我校在江苏扩招293人，预计投档线会有所下降。建议一志愿填报并服从专业调剂，增加进档录取机会。
录取,13***88 (山东),2018-06-28 16:29,山东理科考生，总分623，全省排名9884.报考苏州大学有无希望？,您好，参考往年，录取有希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
报考咨询,41***@qq.com (内蒙古),2018-06-28 16:23,内蒙古文史类考生582分位次837超出一本线80分可以报考贵校吗可以学哪些专业,您好，参考往年，录取有希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
青海考生 高一本线42,14***3@qq.com (青海),2018-06-28 16:11,请问青海考生高出一本线42能报考贵校吗？,您好，参考往年，录取有希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
黑龙江2018年考生文科566分能考me,25***@qq.com (黑龙江),2018-06-28 16:05,你好我是黑龙江2018年考生文史类566分能考上么，省排名为1018--1056.线差为76。我想问下能不能上贵校,您好，参考往年，录取有希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
青海文科考生,13***88 (青海),2018-06-28 16:05,老师你好：我是青海文科女生495分，全省1045名，请问报贵校有希望吗？谢谢,您好，参考往年，录取有风险
湖南录取,13***46 (湖南),2018-06-28 15:56,老师好，我是湖南理科考生分数607，超一本线94分，有望被贵校录取吗？谢谢,您好，参考往年，录取有很大希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
中外合办咨询,17***17 (山东),2018-06-28 15:55,老师您好，我是山东文科考生，高考分数为577分，高出省控线72分，希望报考贵校中外合办的相关专业，请问录取可能性如何？,您好，参考往年，录取有很大希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
山东理科,hl***3.com (山东),2018-06-28 15:34,山东省理科考生620分，排名10870名，报考贵校有希望被录取吗？谢谢。,您好，参考往年，录取有希望。建议一志愿填报并服从专业调剂，增加进档录取机会。
广东 音乐术科生（音乐学、 音乐演奏(钢琴)）,15***16 (广东),2018-06-28 15:11,您好！我的高考分数为学业水平DDD术科223文化科334综合分468综合分省内排名为2694如填报贵校统考录取的相关专业请问被贵校录取的机会大不大？,您好，参看音乐类招生简章http://zsb.suda.edu.cn/view.aspx?id=2252
海南,18***42 (海南),2018-06-28 15:08,你好，我们海南一二本合并了，只有本科A批和自主招生线，苏大高校专项计划以哪个为主呢？,您好，以自主招生线作为参考。
广东,18***92 (广东),2018-06-28 14:56,您好，我是2018广东省文科考生，分数572，省排名8988，填写服从调剂，有多大的几率呢,您好，参考往年，录取有风险
录取,13***63 (广东),2018-06-27 09:48,广东理科生，567分想要报苏大可以吗,你好，参考往年情况，进档估计有希望，建议一志愿填报我校并填写专业服从调剂。若考生进档，我校承诺不退档！
美术生专业调剂问题,13***87 (山东),2018-06-27 09:46,老师您好，我是山东的一位美术类考生，如果我报考了贵校的美术统考类专业，且服从调剂，会不会有被调剂到美术校考类专业，例如：服装设计、摄影之类的？另外，我今年艺术文文化分是481，美术统考分是250.67，报考贵校的美术类专业，录取机率大还是小？,您好，统考专业无法调剂到校考专业。请查看招生简章中的计分公式计算综合分http://zsb.suda.edu.cn/view.aspx?id=2249，并参考历年分数http://zsb.suda.edu.cn/search.aspx?nf=2017&sf=15&xy=18&text=苏州大学2017年山东艺术学院各专业录取分数查询结果
如果被录取会因什么原因退档呢,13***50 (山东),2018-06-27 09:44,老师您好，如果被录取会因什么原因退档呢,普通文理类本一批次考生填写服从专业调剂，若考生进档，我校承诺不退档！
贵州理科考生,13***23 (贵州),2018-06-27 09:24,老师您好，贵州理科考生，考分596，位次5694，请问报考贵校计算机专业录取几率大吗？谢谢！,你好，参考往年情况，进档估计有非常大希望，建议一志愿填报我校并填写专业服从调剂。若考生进档，我校承诺不退档！专业是否能录取要看当年报考情况，暂时无法估计，可以参考历年成绩进行预测http://zsb.suda.edu.cn/markHistory.aspx
江苏 理科 365分 理化AA 排名 18059 可以报考贵,36***@qq.com (江苏),2018-06-27 09:17,江苏理科365分理化AA排名18059可以报考贵校吗？谢谢,你好，参考往年情况，进档估计有很大希望，建议一志愿填报我校并填写专业服从调剂。若考生进档，我校承诺不退档！今年苏大在江苏公布计划3233人，我们积极响应省里号召，增招293人，是“211”高校中增招最多的学校。所以今年苏大投档线预估会有所下降，意味着江苏考生被苏大录取机会大大增加。
