标题,来源,时间,问题,回答
山东2018理工考生,13***85 (山东),2018-06-25 14:47,老师好，605分，省位次17677，过的机会大吗？,同学你好，感谢咨询我校。我校往年在陕西的录取情况如下：2017年最低位次24195，2016年最低位次23129，2015年最低位次22983。可根据自身情况进行参考。祝你金榜题名。
河北理科考生,18***82 (河北),2018-06-25 13:13,高考成绩611，排名18000出点头，请问能顺利就读贵校吗？,同学你好，感谢咨询我校。我校往年在河北招收情况如下：2017年最低位次18708，2016年最低位次19356，2015年最低位次20896。可以根据自身情况进行参考。祝你金榜题名。
陕西考生,15***72 (陕西),2018-06-25 13:04,你好，我是陕西考生，2018年高考成绩为568，省位次为14742，能否报考贵校，请予以解答,同学你好，感谢咨询我校。我校往年在陕西的录取情况如下：2017年最低位次19783，2016年最低位次17978，2015年最低位次19743。可根据自身情况进行参考。你的成绩可以考虑报考我校一些优势学科。祝你金榜题名。
陕西考生,15***72 (陕西),2018-06-25 13:02,2018年高考成绩568分，省位次14742，报考贵校有希望嘛,同学你好，感谢咨询我校。我校往年在陕西的录取情况如下：2017年最低位次19783，2016年最低位次17978，2015年最低位次19743。可根据自身情况进行参考。祝你金榜题名。
志愿,18***95 (陕西),2018-06-25 12:30,录取是不是先地方专项才高校专项？地方一旦退档还检索高校专项不？如果报考了西安科技的地方专项不服从调剂还能到西北农林大学的高校专项不？,同学你好，感谢咨询我校。地方专项和高校专项属于特殊类招生，具体报考规则请参考考生所在省招生办的规定。
山东文科,15***98 (山东),2018-06-25 12:25,您好。我是山东文科考生，总分611，排名3260，请问被录取的可能性大吗?若服从专业调剂，被退档的风险大吗?谢谢,同学你好，感谢咨询我校。我校往年在陕西的录取情况如下：2017年最低位次4354，2016年最低位次5170，2015年最低位次8471。可根据自身情况进行参考。我校提档后若服从调剂的话不退档。祝你金榜题名。
新疆理科生预科,18***88 (新疆),2018-06-25 12:13,新疆理科生、民考汉、433分，报贵校新疆预科班有希望吗？贵校民考汉历年录取分数线无法查询，怎么查？谢谢····,同学你好，感谢咨询我校。我校未统计往年在新疆预科班分数。由于招收人数较少，录取分数波动较大。祝你金榜题名。
报考咨询,13***75 (河南),2018-06-25 12:09,老师您好，河南文科美术生统考258，文化482，报考咱们学校有希望吗？,同学你好，感谢咨询我校。我校美术生需按照综合分数排名录取。（综合分数=省统考专业课成绩/省统考专业课满分×60+高考文化课成绩/高考文化课满分×40）河南省2017年录取情况如下：最高分77.04，最低75.24。可根据自身情况进行参考。祝你金榜题名。
录取问题,15***36 (江苏),2018-06-25 11:37,老师，我是江苏理科考生，360分，高本一24分，名词24219，请问报考贵校有希望吗？,同学你好，感谢咨询我校。我校往年在江苏招收情况如下：2017年最低位次23967，2016年最低位次24610，2015年最低位次30287。可根据自身情况进行参考。祝你金榜题名。
调剂,11***9@qq.com (黑龙江),2018-06-25 11:31,报6个专业没录取服从调剂，是否有可能被调剂到动物科学或医学专业,同学你好，感谢咨询我校。动物科学和动物医学均为我校优势学科，被调剂到该学科的可能性不大。祝你金榜题名。
