标题,来源,时间,问题,回答
报考志愿,13***86 (陕西),2018-06-25 12:58,老师您好，贵校中外合办专业录取位次大概多少？属于贵校的哪个院校？上课时全英文吗？是在新校区上课吗？,去年录取的位次在22000左右，这个专业属于信息科学与技术学院，在新校区上课，中外合作专业前3年50%以上专业核心课程引进埃塞克斯大学优质教学资源，由英国教师来华授课，并采用全英文教材加中英文混合的授课形式完成。
陕西考生,15***72 (陕西),2018-06-25 12:53,2018年高考成绩为568，省位次14742，报考贵校有希望吗,理科位次在16000位以前（分数564分以上）欢迎报考西北大学！在这个分数以下的，也可以冲报一下（一本平行志愿A志愿填报）。
河南考生咨询,15***30 (河南),2018-06-25 11:23,河南理工类考生成绩581想咨询一下贵校有没有心理学专业如果有我这个分数有希望么,你好，我校没有心理学专业，你这个分数可以冲一下我们学校，建议服从调剂。
招生咨询,44***@qq.com (陕西),2018-06-25 11:22,你好！请问：文史，410分，能报考贵校的会计专业么？,你好，我校所有专业都是一本专业。
山东考生,13***62 (山东),2018-06-25 11:18,老师您好，高考成绩504能被录取吗,你好，你过一本线了吗？
重庆理科考生咨询,13***26 (重庆),2018-06-25 11:14,重庆理科考生，位次8979，报考贵校的软件工程、计算机类、金融数学、金融工程等专业，风险大不？,你好，从去年的录取位次来看，有机会录取到这几个专业，希望挺大的，建议你把我们学校放在A志愿上，服从调剂。
录取情况,15***60 (河南),2018-06-25 10:52,河南理科考生，543，排名55062，专业考虑工商管理，有可能被录取吗,工商管理类是文史专业，只有文科生能报考。
云南理工类，分数590，能报贵校的计算机和电子信息类吗,18***37@163.com (云南),2018-06-25 10:17,老师您好，我是云南理科考生，分数590，请问可以报考贵校的计算机和电子信息类吗？,你好，根据去年的录分情况来看，你可以报考我校的计算机科学与技术和电子信息类专业，并且录取的希望还是挺大的。
陕西文科531 有高校专项计划的名额 可以报考西北大学吗？,15***45 (陕西),2018-06-25 10:15,陕西文科531在陕名次8273可以报考西北大学吗？,学校将依据公布的分省分专业招生计划，按照学生高考投档分数(含政策性加分)从高分到低分依次择优录取，同时根据我校招生章程的录取规则分配专业。你这个分数，得看今年的实际报考情况，我们也预估不来。
招生咨询,13***57 (天津),2018-06-25 10:01,您好：我是天津考生，请问多少名次能入咱们学校的王牌专吗？有没有专业级差？进校位次是多少？本科就业方向？研究生就业方向？拜托了！百忙之中感谢您的回答！,你好，去年我们在天津录取位次在8500左右，没有专业极差，咨询电话：029-88302211、18821620002-0004
招生咨询,13***57 (天津),2018-06-25 09:59,您好：我是天津考生，请问多少名次能入咱们学校的王牌专吗？有没有专业级差？进校位次是多少？本科就业方向？研究生就业方向？拜托了！百忙之中感谢您的回答！,你好，去年我们在天津录取位次在8500左右，没有专业极差，咨询电话：029-88302211、18821620002-0004
长安大学,13***08 (陕西),2018-06-25 09:27,你好，我是陕西理科考生，成绩573，位次13735，能报考贵校的电子信息类专业吗,你好，你这个位次进西北大学是有希望的，但是电子信息类这个这个专业不一定能够录取。
西北大学,13***08 (陕西),2018-06-25 09:20,你好，我是陕西理科考生，成绩573，位次13735，能报贵校的计算机专业吗,你好，你这个位次进我们学校是有希望的，但是计算机科学与技术这个专业不一定能够录取。
关于投档与录取,13***19 (江苏),2018-06-25 09:17,老师您好，我是江苏理科考生，总分361，物理B+，生物A，可以报考贵校吗?会不会退档?专业是否有限报?,你好，从去年的录分来看，录取的希望挺大的，一般退档只会是两种原因：一，所报专业已录取额满又不服从调剂。二，身体状况不符合所报专业培养要求。所以我们一般会建议考生在报志愿的时候选择服从调剂。
陕西理工类515分，位次32094可以报考经济学?,17***67 (陕西),2018-06-24 16:36,陕西理工类515分，位次32094可以报考经济学?,你好，理科位次在16000位以前（分数564分以上）欢迎报考西北大学！在这个分数以下的，也可以冲报一下（一本平行志愿A志愿填报）。
