标题,来源,时间,问题,回答
河南文科考生专业咨询,17***51 (河南),2018-06-27 15:10,老师您好，我是河南文科考生，分数627排名1528高一本线80分请问能否报贵校的工商管理类——人力资源管理专业并且想要知道贵校的文科招生计划恳请老师,建议报考我校，招生计划请查询省级招生部门下发的计划汇编。
专业级差,13***10 (四川),2018-06-27 15:07,老师您好，请问贵校在四川文科志愿录取时是否有专业级差？,提档考生，体检合格，服从调剂，均不退档。进档考生实行分数优先原则，从高分到低分排序后严格按专业志愿顺序安排专业，专业之间不设级差。
录取,13***10 (四川),2018-06-27 15:05,老师好，我是四川文科考生，分数594，高出重本41分，排位3072报考本校有希望吗？能请您告诉我您往年在四川招生的最低位次吗？,建议报考我校。
志愿填报,13***44 (山西),2018-06-27 15:00,老师你好，山西理科，男性考生594分，有没有可能进入贵校学习？,我校在山西3500位次前鼓励报考。
咨询,18***52 (陕西),2018-06-27 14:43,贵校的专项计划是具体内容是什么,我校有高校专项计划和国家专项计划。
咨询,54***@qq.com (北京),2018-06-27 14:35,老师您好！请问飞行器设计与工程专业的普通班（专业编号02）和全英文授课班（专业编号03）的教学内容和进度是否完全相同？飞行器设计是否分为航空和航天方向？课程设置是否相同？学生个人是否有选择权？谢谢！,教学内容相同，飞行器设计分为航空和航天学院，个人有选择权。
录取问题,13***82 (贵州),2018-06-27 14:21,您好，请问对于平行志愿提档后服从专业调剂会退档，吗？,提档考生，体检合格，服从调剂，均不退档。进档考生实行分数优先原则，从高分到低分排序后严格按专业志愿顺序安排专业，专业之间不设级差。
江苏录取咨询,15***99 (江苏),2018-06-27 14:20,江苏考生理科375，选修两个A+，报考贵校有希望录取吗,建议A志愿填报我校冲一下。
国家专项,15***71 (贵州),2018-06-27 14:03,贵州考生排位3559，不清楚最近几年国家专项对专业的录取排位，，以及我能不能报飞行器设计与工程专业,建议报考我校。
江苏录取咨询,15***99 (江苏),2018-06-27 14:01,江苏考生375，选修A+A+，可以填报,建议A志愿报考我校冲一下
山西理科615到贵校适合哪些专业？,13***96 (山西),2018-06-27 14:00,如题，敬候,不要选择分数太高的专业，我校在山西3500位次前鼓励报考。
山东考生美术理,15***23 (山东),2018-06-27 13:22,专业分268，文化分324，报考该校是否有希望，该校英语是否限分,请仔细查看我校艺术类招生简章http://zsb.nwpu.edu.cn/index.php?s=/home/article/detail/id/826.html
分数问题,13***45 (北京),2018-06-27 13:21,您好，北京考生靠638，排名3529服从分配的话能否进入贵校。进入贵校该专业是否困难？,建议报考我校。
山东考生美术理,15***23 (山东),2018-06-27 13:21,专业分268，文化分388，报考该校是否有希望，,请仔细阅读我校艺术类招生简章http://zsb.nwpu.edu.cn/index.php?s=/home/article/detail/id/826.html
中外合作,13***62 (黑龙江),2018-06-27 13:14,中外合作玛丽女学院是全英文教学吗，英语成绩和口语成绩有要求吗？,是全英文教学，英语成绩和口语成绩无要求。
关于河南国家专项,24*** (河南),2017-06-28 10:06,老师您好我是河南贫困地区考生可享受国家专项今年高考省位次1万名国家专项报考贵校有希望吗,你好！请告知具体的分数和位次。
提前批,xz*** (河南),2017-06-28 09:44,我是河南考生，提前批对视力有没有要求,你好！关于体检要求请参考我校本科招生信息网：http://zsb.nwpu.edu.cn/index.php?s=/home/article/detail/id/54.html
志愿咨询,li***19 (安徽),2017-06-27 16:40,安徽考生，589分，高于一本线102分，全省7519名，国家专项中已报贵校，请问有机会录取吗？谢谢,你好！有希望，欢迎报考！
近视,10***1 (陕西),2017-06-27 16:16,视力800度，电子信息工程、信息安全和通信工程可以报吗,近视800度可报考专业：数学与应用数学、统计学、工商管理、信息管理与信息系统、飞行器动力工程、热能与动力工程、化学工程与工艺、高分子材料与工程、环境工程、会计学和文科类专业。
提前批,13***35 (河南),2017-06-27 16:00,老师你好，河南考生，提前批四年本硕连读，报考和毕业有啥限制？是定向吗？,你好！我校本硕连读提前批次录取分数较高，报考无限制。
河南文科考生590分,ni***6 (河南),2017-06-27 15:39,老师您好，我是河南文科考生590分，全省排名2174，报考贵校有希望吗？,你好！河南文科582分，3000位次以内鼓励报考我校。
近视,10***1 (陕西),2017-06-27 15:35,您好！近视800度哪些专业不能报,你好！可报考专业：数学与应用数学、统计学、工商管理、信息管理与信息系统、飞行器动力工程、热能与动力工程、化学工程与工艺、高分子材料与工程、环境工程、会计学和文科类专业。
陕西理科,we*** (陕西),2017-06-27 15:27,女生省排3100多一点有没有推荐报考的专业谢谢,你好！我校专业无男女生限制，主要根据考生的兴趣选择填报，陕西5500位次以内鼓励报考，建议你报考我校。
四川考生加分问题,h4***8 (四川),2017-06-27 14:53,我是四川考生，有少数民族汉族考生加分（省考试院已公示）。你们招生简章上是说“原则上认可”，请问到底认可吗？是提档和分专业都认可吗？谢谢！急,你好！考试院承认的加分我校均认可。
录取,18***36 (山西),2017-06-27 14:49,山西理科考生，3076名能否报考贵校？录取的机会大吗？谢谢了！,你好！山西3300位次前鼓励报考我校。
关于加分,h4***8 (四川),2017-06-27 14:34,我是四川考生。有少数民族汉族考生加分（省考试院已经公示）。你们招生简章上是说“原则上认可”。请问到底认可吗？提档和分专业都认可吗？谢谢！急,你好！只要贵省招办承认的加分我校均认可。
调剂问题,13***81 (辽宁),2017-06-27 14:21,请问调剂的时候是调剂到本省计划里面还是学校内所有专业都可能被调剂到？,你好！被调剂到在本省计划中有的专业。
陕西,10***1 (陕西),2017-06-27 14:16,您好！陕西理科考生，620，位次3166，视力800度，报考飞行器动力工程有希望吗,你好！你的视力不影响报考飞行器动力工程专业，建议报考。
陕西考生,dk*** (陕西),2017-06-27 13:00,请问我是陕西考生，理科今年611分进贵校有多大把握，求急回,你好！陕西598分，5500位次前鼓励报考我校。
