标题,来源,时间,问题,回答
自主招生志愿顺序和高考报名志愿顺序,13***31 (河南),2018-06-28 14:39,老师您好！我是河南文科考生，获2018年西南大学文经法I类自主招生A类优惠。自招报名时的专业顺序是“新闻学”“中国语言文学类”。我想问的是，高考报名时能否只报其中一个专业？,必须两个都报。
广西文科考生咨询,41***@qq.com (广西),2018-06-28 14:37,您好！我是2018高考的广西考生，今年高考分数为602分，超一本线55分，区内排名1250。请问可以报考贵校的非公费师范类专业吗？希望大不大？贵校有无专业级差、志愿级差？去年报考最低排名是多少？,考生你好，我校只招公费师范。
咨询,18***97 (云南),2018-06-28 14:26,您好我是云南考生，高出一本线82分能报考贵校吗,考生你好，我校在云南有很多类别的招生都可以试试。
转专业,18***76 (福建),2018-06-28 14:25,如果被荣昌校区录取有可能转回本部吗,不能。
福建考生,18***76 (福建),2018-06-28 14:20,今年是这三年来第一次西大心理学专业（非中外合办）在福建省招收学生要求会不会较低理科省排13173有希望进入贵校吗,考生你好，不一定，心理学在我校属于优势学科，报考的人数也比较多。
咨询,15***76 (山西),2018-06-28 13:46,请问山西文科588分高一本线42分，位次1340报考贵校的法学类，经济学类，工商管理类希望大吗,考生你好，对于能否进10635这个国标代码都是个问号，建议你考虑我校荣昌校区相关专业，国标代练19635.
山西省文科1330名到1396名报考贵校有希望么,15***76 (山西),2018-06-28 13:36,山西省文科1330名到1396名报考贵校有希望么,可以考虑公费师范或者荣昌校区。
广西理科考生,15***66 (广西),2018-06-28 13:16,我是广西理科考生，高考分数543，已过贵校的高校专项，排名22688，是否有希望进校？进校后是否可以转专业？,考生你好，高校专项每年通过审核的考生水平不一致，计划也不一样，所以无法确定你的情况能否被我校录取，你可以填报试试，也不会影响后续批次志愿的录取。
关于广东考生过优投线报考贵校机率,15***13 (广东),2018-06-28 13:09,您好，我是来自广东省的文科生，今年广东普通文理科的一本批次和二本批次线合并了，并设置了一条高分考生优先投档线文科线为550我考了551，属于第一批优先投档的请问这个分数报考贵校有机会录取？机率大不大？谢谢！,考生你好，如果你省合并了本一批次和二批次线，那么往年的录取数据就不具有太准确的参考价值了，那么我们也无法为你解答。
专业调剂,18***31 (山西),2018-06-28 13:02,贵校在志愿书上既是A类大学又是B类大学，如果在A类志愿中报了这里且服从专业调剂，会被调剂到B类专业吗，另外问一下会被调剂到中外合办专业吗,考生你好，你的问题我确实无法回答请咨询你省考试院。
咨询,15***60 (新疆),2018-06-28 12:57,新疆541，第一志愿直接报考贵校，可服从专业调剂？您看可以冲一冲吗？,可以试试荣昌校区相关专业。
转专业,18***27 (青海),2018-06-28 12:50,您好，想要学习汉语言文学专业，但青海只招工商管理类，可否先报考工商管理类再转专业呢？或者贵校转专业的情况如何？,考生你好，进校后可以提出转专业申请，但是学校需要根据实际情况审批。
安徽考生,18***58 (安徽),2018-06-28 12:46,招生办老师您好：1:我是安徽理科考生（605分位次11442），平行志愿模式，并服从专业调剂，投档到贵校几率有多大？2:请问贵学校是专业清招生模式，还是分数清招生模式？3:最后烦问一下老师入学后假如转专业的话对时间、成绩、规则有哪些要求？谢谢！,考生你好，有希望投档到我校，我校只有中外合作办学和艺术类专业实行志愿清原则，转专业是我校教务处在负责管理，请致电咨询。
湖南考生有希望录取吗？,15***31 (湖南),2018-06-28 12:21,总分581省排名18181有希望录取吗？能选到什么专业？,考生你好，我校去年在湖南理工类最低录取位次18182，请参考。
西南大学（荣昌校区）,13***78 (河南),2018-06-28 11:49,考生有色弱，选的专业有局限性，如果服从调剂，没有相对应的专业，会怎么办，提档后会退档吗,考生你好，如果是色弱你就不要选择受限的专业。
报本校可能性,zj***1@163.com (河南),2018-06-27 09:47,河南考生理科586分，能报本校吗，谢谢,http://bkzsw.swu.edu.cn/s/bkzs/lnfs/20160624/1894296.html
河南文科，619分，2343位次，报考贵校有希望吗？,41***@qq.com (河南),2018-06-27 09:45,河南文科，619分，2343位次，报考贵校有希望吗？,可以考虑我校公费师范生或者荣昌校区。
录取咨询,18***58 (山东),2018-06-27 09:45,老师，您好，山东文科考生605分，被贵校录取的希望大吗？如果使用高校专项计划会被退档吗，专业还可以再转么？,考生你好，可以考虑我校中外合作办学，高校专项计划是按计划从高分到低分录取。
录取咨询,13***29 (山西),2018-06-27 09:42,我是山西考生，今年572分，超一本线56分，是否有希望被录取，谢谢老师,考生你好，按照往年录取的情况，你的分数在线上线下徘徊，如果稳妥的话可以填报我校中外合作办学，当然你也可以试试本一批普通类，平行志愿的填报可以冲一冲，不会影响后续志愿的录取。
农村专项计划,13***19 (山东),2018-06-27 09:39,您好，问一下山东文科考生610分，位次3421，农村专项已经审核通过，报考贵校录取几率怎么样？具体都有哪一些农村专项志愿可以选？跟本科普通批次一起填报，是不是优先录取农村专项的,考生你好，具体的录取几率我们也无法预测，该类别的招生计划可以在山东考试院公布的招生计划查询，录取是在普通本科一批次之前录取，具体的填报请咨询山东省考试院。
关于录取,15***69 (河南),2018-06-27 09:18,老师你好，我是一名往届生，去年被一所高校录取了但没有去上，好像被记入诚信档案了，想问一下，今年想报考贵校，如果分数足够的话，会不会因为这个问题被贵校退档？谢谢,不会。
西南大学和荣昌校区的毕业证一样吗,15***51 (河南),2018-06-27 09:17,西南大学和荣昌校区毕业证一样吗？,一样无差别。
关于录取,15***69 (河南),2018-06-27 09:14,老师你好，我是一名往届生，去年被一所高校录取了但没有去上，好像被记入诚信档案了，想问一下，今年想报考贵校，如果分数足够的话，会不会因为这个问题被贵校退档？谢谢,不会因为这个原因退档。
西南大学（荣昌校区）,18***6@qq.com (湖南),2018-06-27 09:09,老师您好，我是湖南考生，我在湖南全省排名3W7请问有希望录取贵校吗？,可能有点难度。
报考咨询,13***19 (山东),2018-06-26 16:56,我是2018年山东文科考生，成绩597，位次5890，报考贵校录取希望大吗？谢谢,可以考虑我校荣昌校区。
福建文科考生1616名,15***78 (福建),2018-06-26 16:52,老师好！总分604分，福建省排名1616名这个成绩能上英语系吗？被调剂的可能性大吗？？,考生你好，我校未对专业录取进行位次的统计，请登录我校本科招生网查询我校往年该专业录取分数及位次做参考酌情填报。
录取情况,15***66 (河南),2018-06-26 16:47,您好，河南文科两千三百名可以报西大嘛？,公费师范、中外合作办学、荣昌校区都可以考虑。
西南大学（荣昌校区）,13***79 (福建),2018-06-26 16:42,您好，福建文科省排名4148报考贵校荣昌校区有希望吗,考生你好，因为我们无法查询到你省的排位情况，所以建议你登录我校本科招生网查询往年我校在福建录取情况酌情填报。
贵州理科考生，分数580，8582名,18***15 (贵州),2018-06-26 16:32,此分数报考贵校有希望，希望多大?,考生你好，有一定希望，平行志愿可以冲一冲，同时，我校还有荣昌校区相关专业可以考虑。
录取咨询 广西考生女,15***57 (广西),2018-06-26 16:22,老师好，我是广西理科考生，高考分数是576，比一本高出63分，排名12040，请问可以录到贵校吗？如果可以，应该报选哪些专业呢？,考生你好，可以考虑我校荣昌校区相关专业。
志愿咨询,18***75 (广东),2018-06-28 09:18,我是广东考生2018年高考分数593省排位3797请问能否被贵校汉语言文学专业录取？,考生你好，按照你目前的情况填报我校希望还是比较大，但是具体到专业无法预测。
