标题,来源,时间,问题,回答
录取，,13***89 (贵州),2017-06-27 12:31,我是贵州文科的考生，今年623，能上会计专业吗,请参考我校本科招生网http://zb.swufe.edu.cn/chaxun.php上的往年录取数据，一是看一下各专业往年录取线差；二是看一下各专业往年的录取位次，服从专业调剂，体检政审等条件合格，我校不退档。
录取，,13***89 (贵州),2017-06-27 12:11,老师，我是9贵州的文科考生，成绩623，能上贵校吗,请参考我校本科招生网http://zb.swufe.edu.cn/chaxun.php上的往年录取数据，一是看一下各专业往年录取线差；二是看一下各专业往年的录取位次，服从专业调剂，体检政审等条件合格，我校不退档。
关于经济学基地班与光华人才实验班,1l*** (贵州),2017-06-27 11:42,提前批中经济学基地班入校后是否能报名参加光华人才实验班的考试,经济学基地班不可以转专业
关于退档,1l*** (贵州),2017-06-27 11:07,我服从专业调剂后是否提档了就不退档,是的，过我校调档线，体检政审等条件合格，我校不退档。
高校专项计划,zc*** (河南),2017-06-27 10:47,我通过贵校的高校专项计划审核，志愿中直接填报贵校就行吗，专业要跟高校专项计划材料里面一致吗,高校专项计划入选资格考生按照生源地省级招生考试机构的相关要求填报高校专项计划志愿。考生专业志愿以其在高校专项计划报名系统里报名时填报的专业为准。
四川文科考生,yb*** (四川),2017-06-27 15:55,四川文科考生，570分，报考贵校机会大不？去年贵校最低分是551。,建议按照平行志愿填报策略，大胆填报，具体可参考我校往年录取数据http://zb.swufe.edu.cn/newversion/
志愿咨询,20*** (四川),2017-06-27 15:41,你好老师，我是四川理科考生，去年西财断档了最低录取分才551，只超了一本线19分，今年还会有可能吗？我今年高考分数578，超了一本线67分，以前西财都要超一本线100分左右吧，但是我想读西财的商务英语，是不是没什么希望啊？,建议按照平行志愿的填报策略，放在第一顺位大胆冲一下。
福建考生提问,13***90 (福建),2017-06-27 15:16,全省排名2100有希望报考贵校的金融学和财务管理吗,建议参考一下我校往年在贵省的录取数据http://zb.swufe.edu.cn/newversion/
高校专项计划,15***75 (江西),2017-06-27 14:44,老师您好，请问贵校高校专项计划中分数优惠“E”是代表什么？谢谢老师。,我校高校专项计划录取优惠分值类型为“按分省计划择优录取”。
我是云南考生填报贵校联合办学专业服从调剂，是否退档？,dy*** (云南),2017-06-27 12:55,我是云南考生填报贵校联合办学专业服从调剂，是否退档？,不退。
录取，,13***89 (贵州),2017-06-27 12:31,我是贵州文科的考生，今年623，能上会计专业吗,请参考我校本科招生网http://zb.swufe.edu.cn/chaxun.php上的往年录取数据，一是看一下各专业往年录取线差；二是看一下各专业往年的录取位次，服从专业调剂，体检政审等条件合格，我校不退档。
录取，,13***89 (贵州),2017-06-27 12:13,老师，我是9贵州的文科考生，成绩623，能上贵校吗,请参考我校本科招生网http://zb.swufe.edu.cn/chaxun.php上的往年录取数据，一是看一下各专业往年录取线差；二是看一下各专业往年的录取位次，服从专业调剂，体检政审等条件合格，我校不退档。
