标题,来源,时间,问题,回答
江苏理科考生咨询,18***05 (江苏),2018-06-27 13:29,老师您好，我是江苏理科考生，高考成绩366分，选测物理B生物A，高本一线30分，能填报贵校什么专业?有多大把握被录取?看到贵校招生章程上说服从调剂且专业计划已满有可能退档，想问一下退档几率有多大?,同学你好，可以冲一下，同时建议拉开专业梯度，服从专业调剂以增加录取机率。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/服从调剂提档不退档。
请问贵校计算机有无实验班？如何进,91***@qq.com (广东),2018-06-27 13:15,请问贵校计算机有无实验班？如何进,您好，我校有教改班、卓越班都有计算机专业，目前选拔方法等学校通知确认。
新疆考生咨询录取,18***13 (新疆),2018-06-27 13:15,老师，您好，我是新疆理科男生考生，分数是576分，位次是3971，请问有希望被贵校录取吗？,同学你好，有希望，欢迎报考我校，同时建议结合考生兴趣，拉开专业梯度，服从专业调剂。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
河南理科,13***35 (河南),2018-06-27 12:56,河南理科617分，9681名，可以报考贵校吗,同学你好，有希望，欢迎报考我校，同时建议结合考生兴趣，拉开专业梯度，服从专业调剂。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
咨询,91***@qq.com (广东),2018-06-27 12:53,老师好，我是广东考生，总分592分，省排名10976，能否上贵校计算机科学与技术专业？,你好，有希望。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
志愿,15***34 (山东),2018-06-27 11:59,贵校是平行志愿吗？,您好，是平行志愿。
志愿录取规则,18***79 (安徽),2018-06-27 11:45,录取是按分数优先原则？？？？,你好，是的，按照分数优先的原则进行录取，无专业级差。
有希望被录取吗,15***82 (江苏),2018-06-27 11:39,江苏考生理工366分，物理A化学B，位次分数段16941名，有希望被贵校录取吗，谢谢,同学你好，可以冲一下，同时建议拉开专业梯度，服从专业调剂以增加录取机率。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
报考咨询,13***12 (广东),2018-06-27 11:37,老师好：我是广东理科考生，今年高考577，省排位16696，能不能考上贵校？,同学你好，有希望，欢迎报考我校，同时建议结合考生兴趣，拉开专业梯度，服从专业调剂。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
河南理科 录取咨询,15***16 (河南),2018-06-27 11:31,你好老师，我是河南理科考生，今年分数599，位次16721，有高校专项和国家专项，请问这个报考录取几率大吗,您好，参考往年录取高校专项录取的几率更大一些。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
河南理科咨询,15***59 (河南),2018-06-27 11:29,我是一名河南考生，612分，位次11400，有高校专项计划，报考贵校被录取可能性大吗？,你好，希望很大，欢迎报考。
安徽理科,13***98 (安徽),2018-06-27 11:13,老师您好:我的高考成绩615分，位次8593。请问：1、报考贵校有希望吗？2、是否提档不退档？3、贵校优势专业是什么？4、这个成绩能上该专业吗？,您好，有希望；平行志愿服从调剂提档不退档；我校有通信工程、电子信息工程等15个国家级特色专业；请参考历年录取http://zsb.xidian.edu.cn/html/lqqk/
咨询,13***27 (河南),2018-06-27 11:09,老师您好。我是河南理科考生，616分，位次10013名，如果报考该校，可能会被录取吗？专业选择余地大吗？另外，贵校本科生考研的比例大约有多大？谢谢！,同学你好，有希望，欢迎报考我校，同时建议结合考生兴趣，拉开专业梯度，服从专业调剂。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/我校每年保研考研加出国留学的学生，继续深造的比例约40%-50%。
咨询,13***27 (河南),2018-06-27 11:01,我河南考生，理科高考分616分，今年报考贵校有希望录取吗？,同学你好，可以填报我校大部分专业，适当拉开专业梯度即可，欢迎报考。可参考本省历年分专业录取情况【http://zsb.xidian.edu.cn/html/lqqk/】
新疆考生572分位次4230能不能第一志愿冲一下本校,13***65 (新疆),2018-06-27 10:59,新疆考生572分位次4230能不能第一志愿冲一下本校,同学你好，可以冲一下，同时建议拉开专业梯度，服从专业调剂以增加录取机率。可参考本省历年分专业录取情况http://zsb.xidian.edu.cn/html/lqqk/
甘肃理工类考生592分，3650名，可以报贵校吗,18***59 (甘肃),2018-06-26 10:33,甘肃理工类考生592分，3650名，可以报贵校吗,甘肃去年录取最低位次3700，你的分数有希望，可以考虑报考
录取希望,15***47 (福建),2018-06-26 10:32,福建省考生，理科590，排名6600，可能被计算机专业录取吗,录取有希望，专业不好估计，不过我校大部分专业都是通信电子信息类，都很不错
河南理科,15***15 (河南),2018-06-26 10:29,614分，10714名，有希望被该校录取吗,根据往年情况，有希望，欢迎报考
我是河南理科考生，621分，8451名，有退档的可能吗,13***97 (河南),2018-06-26 10:21,数学131分，理综261分，语文108分，英语121分，如果报考的志愿都没录取，同意调剂，其它志愿能保证录取吗？另外中外办学收费如何？分数比本部高还是低,中外合作办学学费较贵，分数还是低一些；你的分数录取希望很大，服从调剂不退档，你也有一定专业选择余地，欢迎A志愿报考。
国家专项计划,13***55 (云南),2018-06-26 10:16,老师好，我是云南考生，今年高考分为617分，全省位次5694，我想通过国家专项计划报贵校，有都多大希望录取？,你的分数，普通类和国家专项都有录取希望，欢迎报考
国家专项,13***78 (河南),2018-06-26 10:07,你好，我今年河南省16721名国家专项报贵校希望大吗？谢谢。,我校国家专项机会专业很好，这几年分数较高，不好估计，不过是多一次机会，也可以考虑报考
关于湖北录取,13***43 (湖北),2018-06-26 09:49,湖北的617位次是8525请问可以被贵校录取吗？,希望很大，欢迎报考
咨询,13***82 (湖南),2018-06-26 09:42,你好，我是湖南文科考生，今年579，高一本线10分，省排名10621，是否可以报考？,同学您好，我校湖南无文科招生
老师你好，理工成绩618，位次5386，能被贵校的通信工程录,13***72 (陕西),2018-06-26 09:36,老师你好，理工成绩618，位次5386，能被贵校的通信工程录取吗，志愿填报，请指导下,有希望，通信进不来的话，信息工程、电子信息工程、微电子、信息安全、计算机、智能等全国最好的专业也可以录取了，欢迎A志愿报考。
转专业,15***36 (河北),2018-06-26 09:36,请问转专业有何要求,大一结束后，专业必修课程平均学分绩排位在本专业年级前30%，通过申请及考核可以转专业
关于调档,go***u.edu.cn (江苏),2018-06-26 09:35,老师，您好！我今年有意向报考贵校，若达到贵校调档资格被调档，而在录取过程中由于专业排名不够，若我在自愿填报中服从调剂，且身体条件符合要求，贵校是否承诺不退档。,服从调剂不退档
报考咨询,18***32 (陕西),2018-06-26 09:27,老师您好，我是陕西理工科考生，成绩586，位次100877，报考贵校有希望吗,可以考虑A志愿冲刺，后面注意填报其他高校
录取,13***02 (青海),2018-06-26 09:23,老师你好，西电2017在青海招收的少数民族预科班录取分数线是多少？我今年考了410能不能报少数民族预科班？,2017年最低分419，预科录取人数少，没有规律性，不好估计，需考生自行衡量
山东考生询,18***69 (山东),2018-06-26 09:17,山东理科考生623分，省位次9983，报贵校，服从调剂有希望吗？,根据往年情况估计，希望较大，欢迎报考
河南考生595，位次18611想上中英合作,15***75 (河南),2018-06-26 09:15,河南595，位次18611，想让贵校中英合作班，请问105%提档吗？提了档不服从调剂会因分数低退档吗，服从调剂会调到中法班吗,100%提档，提档服从不退档，会调到中法班
陕西理科,13***88 (陕西),2018-06-26 14:32,老师您好，我是陕西理科考生，成绩597，位次8722，请问报考贵校，被录取的概率大吗？,有希望，可以考虑A志愿冲刺，多大概率不好估计
海南理科生,18***90 (海南),2018-06-26 14:25,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,希望很大，我校在海南专业都很好，欢迎A志愿报考
江苏咨询,18***10 (江苏),2018-06-26 14:16,请问老师，江苏理科366，排名16000左右能上贵校吗,江苏往年一般录取最低12000左右，如果报考冲刺，后面注意拉开梯度天报其他学校
报考咨询,17***95 (陕西),2018-06-26 14:03,老师，你好，陕西理科601分，位次7961，能包括贵校吗是不是会被调剂专业啊，有没有什么分数差不多的专业推荐，谢谢,录取希望很大，专业不好估计，我校大部分专业都是通信电子信息类，大一结束后也有转专业政策。
咨询,18***76 (山东),2018-06-26 13:53,老师好，我是山大理，请问可以报咱们学校吗,不明白？什么叫山大理？
录取咨询,15***69 (辽宁),2018-06-26 13:49,老师您好，辽宁理科考生622分，位次6744，是否有希望进入贵校学习？,辽宁往年一般录取到5000左右，你的分数可以考虑A志愿冲刺，后面注意天报其他学校
z咨询,sz***63.com (山东),2018-06-26 13:45,山东理科619排名11500报我们学校能保证专业么，谢谢！,根据往年情况估计，录取有希望，专业不好估计了
咨询关于高校专项,15***59 (河南),2018-06-26 12:58,我是一名河南考生，获得贵校高校专项入选资格，高考612分，位次11400，通过高校专项加入贵校可能性大吗？,根据往年情况估计，希望较大，欢迎报考
录取,13***59 (河南),2018-06-26 12:43,老师您好请问河南理科608排名12500有希望进贵校计算机相关专业吗,河南去年录取最低位次10600左右，您可以考虑A志愿报考冲刺，后面注意填报其他学校
江苏考生,13***02 (江苏),2018-06-26 12:40,江苏考生13000名次A+A能报考贵校吗？会不会被调剂到不太理想的专业？,江苏往年一般录取最低位次12000左右，你的分数可以考虑A志愿报考冲刺，后面注意填报其他高校
