标题,来源,时间,问题,回答
能被录取吗,13*** (河北),2017-06-24 10:25,我是河北考生高考成绩342分，能否被计算机科学与技术专业录取,按照2016年录取情况，河北理科录取最低分为482分，高出二本线118分。您投档录取的希望不大。希望我的回答对你有帮助。
小语种可以报考吗？,aj*** (山西),2014-05-10 10:20,你好老师，我是太原外国语学校学德语的文科考生，今年可以报考你校么？有招生计划吗？,你好，非常感谢你对我校的支持！我校（拉萨校区）今年在山西投放计划50个，我校在招生录取时不限制外语语种，但进校后只可选择英语和日语两种外语，高考为非英语、日语语种的考生在填报志愿时须慎重。
您好，我是郑州高中美术组的老师，咨询下去年美术类的录取分数,re*** (河南),2014-05-08 12:21,您好，我是郑州高中美术教研组的老师，我这里今年有个学生想要报考贵校的美术类专业，想咨询下2013年贵校美术类专业在河南的录取情况（录取的最低分数）供学生参考，还望招办老师百忙之中答复，谢谢您。,您好，老师。非常感谢您对我校招生工作的支持！我校（拉萨校区）2014年在河南投放计划120个，艺术类2个，美术学1个，音乐学1个，均为艺术文。2013年我校录取文化课最低分为338分，美术统考最低227分。
山东考生 530 能报考贵校吗,zh*** (山东),2013-06-17 16:26,我山东考生，2013年高考约530分，能报贵校吗,我校本部2013年在山东省没有投放计划，林芝八一校区有招生，能否考上，要看贵省的二批本科线分数。
收费和注意事项,mq*** (云南),2013-06-14 13:13,老师好，我想问就是学费大概是多少？且如果被录取有什么注意事项？,学费要看专业。具体见我校校园网（www.utibet.edu.cn）。你所指的注意事项我不知道哪方面的。
河南理科,lp*** (河南),2012-06-29 11:06,老师您好，我只过省二本线19分，报考希望大吗？，另外，咱们学校相对好的专业有哪些呢？,按往年情况，有希望投档。
今年贵校法学专业,zl***25 (河南),2012-06-29 11:03,几年贵校法学专业在河南不招收文科考生？急万分感谢,在河南投了3个法学专业计划
查询,25*** (云南),2012-06-29 09:13,我是云南考生，理科，406分，报你校取得着吗?,按往年情况，有希望投档。
关于免费师范生的分配以及校区的分配,zj*** (浙江),2012-06-29 09:05,您好：我是浙江的考生，前几年在贵校没有浙江的录取分数线，请问分数线大概多少？免费师范生包分配么，如果是，可以回到本省么？师范生在新校区还是旧校区？谢谢,师范生的就业仍执行“双向选择，自主择业”，执行你省的二本线。
录取,22*** (山西),2012-06-28 16:18,山西文科考生500分能被贵校录取吗,从往年情况看，投档有希望。
咨询,11***0 (山西),2012-06-28 12:17,该校是本科院校么？录取分数最低得多少？有专科么？又得多少？收费怎么样？,我校是“211”高校，因各方面因素，目前在区外仍执行普通二本线。我校不在区外投放专科计划。我校师范专业免收学费，其他专业最高3360元/学年，最低2800元/学年。
是否能录取,12*** (河南),2012-06-28 12:08,我是河南文科考生，高考成绩529分，超出二本线20分，是否能报考贵校？能报考具体什么专业？,投档希望较大
咨询,zh*** (山西),2012-06-28 11:40,老师好，我是理科生，高出本地2本线16分，能被贵校录取么？土木工程或电气工程及自动化行不行,投档希望较大。
咨询,ea*** (河南),2012-06-27 14:49,河南文科考生高出二本线4分是否能被贵校录取,从2011年情况看，高出二本线3分录取。今年具体还要看生源情况。
