标题,来源,时间,问题,回答
报考咨询,41***@qq.com (内蒙古),2018-06-28 16:34,内蒙古文史类考生582分位次837超出一本线80分可以报考贵校吗可以学哪些专业,欢迎报考！
录取,24***7@qq.com (河南),2018-06-28 16:18,高于一本线76分省内排名约30100的河南考生是否有机会被录取或录取可能性大吗,欢迎报考！
河南理科,15***87 (河南),2018-06-28 16:16,我是河南理科类考生，580分报考贵校录取几率怎样？,欢迎报考！
录取是否有希望,18***64 (贵州),2018-06-28 15:57,我参加了特殊类型及免试招生院校的分数493，能否上贵校一本,建议报考我校农林类专业!
咨询,18***18 (贵州),2018-06-28 15:56,请问贵州本地539分，是否有希望就读贵校？,欢迎报考！
录取几率,13***76 (湖南),2018-06-28 15:43,老师：您好！我是湖南师大附中的学生，理科，分数581分，排名18100左右，可以报考贵校吗,你好，欢迎报考贵州大学。参考往年录取情况，录取几率较大，可以尝试报考。
录取,13***81 (湖南),2018-06-28 15:33,您好，请问湖南理科585，位次17000左右报考贵校希望大吗,你好，欢迎报考贵州大学。参考往年录取情况，录取几率较大。
请问,28***8@qq.com (贵州),2018-06-28 15:10,我高出一本线38分，填电子信息会不会被调剂？谢谢老师,你好，欢迎报考贵州大学。参考往年录取情况，该专业不一定能录取，可以尝试报考。
福建理科553,15***57 (福建),2018-06-28 14:54,老师您好，福建理科553，排名14133，想报贵校的电子信息类或电气类，机会多大？,你好，欢迎报考贵州大学。参考往年录取情况，可以尝试报考。
关于转专业的咨询,13***91 (云南),2018-06-28 14:37,老师您好，想请问如我被贵校录取，就读一年后想转专业，是否能转到在云南省没有招生计划的专业？感谢老师！,你好，欢迎报考贵州大学。针对大一学年表现优秀的同学，我校有转专业的政策，达到条件的可以全校范围内任选专业。
湖南文科589,15***48 (湖南),2018-06-28 14:36,您好，湖南文科考生589分，省排名8040，请问报考贵校有希望被录取吗？,你好，欢迎报考贵州大学。参考往年录取情况，录取几率不大，可以尝试报考。
福建理科考生,15***10 (福建),2018-06-28 14:05,请问我559高出本一69分省排名12727有希望录取吗？填报应该放哪一个位置呢？今年有专业极差吗？服从调剂是提档不退档吗？,你好，欢迎报考贵州大学。参考往年录取情况，可以尝试报考。我校专业不设级差，建议服从专业调剂，增加录取几率。我校对服从专业调剂的进档考生原则上不退档。
贵州理工科学生,18***67 (贵州),2018-06-28 13:52,老师，我理科考了454分，高出二本线75分，请问报贵校二本专业有希望没有？,你好，欢迎报考贵州大学。参考往年录取情况，录取几率不大，可以尝试报考。
录取几率,17***87 (云南),2018-06-28 13:35,老师，你好。我是一名云南理科考生，高考分数556，排名21000。请问进入贵校学习的几率多大？以及是否可以学到贵校较好的专业？,你好，欢迎报考贵州大学。参考往年录取情况，分数就在录取线附近，可以尝试报考。
录取,18***41 (贵州),2018-06-28 13:08,您好，我是贵州考生，想报考贵校财政学类，考分529，位次22406，录取可能行大吗？,你好，欢迎报考贵州大学。参考往年录取情况，该专业不一定能录取，可以尝试报考。
湖南考生有希望录取吗？,15***31 (湖南),2018-06-28 12:19,总分581省排名18181有希望吗?能选什么专业?,你好，欢迎报考贵州大学。参考往年录取情况，可以尝试报考。建议梯度填报专业志愿，服从专业调剂，增加录取几率。
山东理科601分，贵校的专业报什么有风险，可以报什么专业,15***69 (山东),2018-06-28 12:18,山东理科601分，贵校的专业报什么有风险，可以报什么专业,你好，欢迎报考贵州大学。参考往年录取情况，录取几率很大。建议梯度填报专业志愿，服从专业调剂，增加录取几率。
是否见档不退？,99***@qq.com (贵州),2018-06-28 11:02,老师，您好！我想报考您校，您校是否见档不退？,你好，感谢关注贵州大学。考生档案投进我校，除非所报专业均没录取且不服从专业调剂，或者体检受限，其余情况原则上不退档。
录取,15***19 (山东),2018-06-28 10:26,今年山东585分，位次29000，服从调剂可能被录取吗？,你好，欢迎报考贵州大学。参考往年录取情况，有较大可能录取。
山东理科601分，有希望报考贵校吗,15***69 (山东),2018-06-28 09:59,山东理科601分，有希望报考贵校吗,你好，欢迎报考贵州大学。参考往年录取情况，录取几率较大。
安徽理科生，571分，能被该校计算机专业录取吗？,15***47 (安徽),2018-06-28 09:50,安徽理科生，571分，25000名，能被该校计算机专业录取吗？,你好，欢迎报考贵州大学。参考往年录取情况，录取几率较大，但需合理填报专业志愿，建议服从专业调剂，增加录取几率。
报考,15***07 (湖北),2018-06-28 09:44,请问贵校历年录取分数线较低的专业有哪些？,你好，欢迎报考贵州大学。请登录贵州大学本科招生网点击往年录取情况，进行参考。
如果投档进了服从调剂会被退档吗,13***68 (海南),2018-06-28 09:34,.,你好，感谢关注贵州大学。考生档案投进我校，除非所报专业均没录取且不服从专业调剂，或者体检受限，其余情况原则上不退档。
录取,11***0@qq.com (贵州),2018-06-27 16:56,理科452分，报贵校有希望吗？,你好，感谢关注贵州大学。参考往年录取情况，可能性不大。
福建录取,13***71 (福建),2018-06-27 16:41,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,你好，欢迎报考贵州大学。参考往年录取情况，有较大可能录取。
国家专项计划,18***05 (贵州),2018-06-27 14:51,我贵州考试，高一本线26分，总分510位次30231，国家专项报了贵州大学，能录取吗？,你好，欢迎报考贵州大学。参考往年录取情况，录取几率较大。
请问投档后会剔除少数民族加分再来排名吗,18***16 (贵州),2018-06-27 14:01,内容如标题,你好，欢迎报考贵州大学。我校认可少数民族加分，不会剔除。
贵州理科超一本线63,18***16 (贵州),2018-06-27 13:57,报外国语类专业稳吗，不谈兴趣，什么专业我是可以报的呢，有没有必要选择专业调剂呢,你好，欢迎报考贵州大学。参考往年录取情况，外语类专业录取几率较大。建议服从调剂，增加录取几率。
录取概率,18***53 (贵州),2018-06-27 13:35,老师你好。我是贵州省文科考生，超过一本线17分，请问我被贵大录取的概率大吗？报考哪些专业比较合适呢？,你好，感谢贵州大学。参考往年录取情况，一本录取几率不大，可尝试报考。如是少数民族，可考虑少数民族预科班。
老师好,15***29 (贵州),2018-06-27 12:52,高考报志愿时若只有一个专业选择可调剂怎么调,你好，感谢关注贵州大学。请详细说明你的问题。
贵州理科542分,18***83 (贵州),2018-06-26 09:45,贵州理科生高考成绩542，想报贵校商务英语系，录取几率大吗,你好，欢迎报考贵州大学，参考往年录取情况，你的分数录取到该专业几率很大。
山东考生，理科，586分，报电气，电子类，录取希望大吗？,15***76 (山东),2018-06-26 09:04,山东考生，理科，586分，报电气，电子类，录取希望大吗？,你好，欢迎报考贵州大学，参考往年录取情况，我校在山东理工类录取分数较高，去年录取最低分为一本线上74分，可以尝试报考。
