标题,来源,时间,问题,回答
咨询,13***06 (江西),2018-06-26 10:50,江西考生文科623，排名971，能进重庆大学吗，能进的话可以进哪个专业（专业分哪个最高）,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
湖南文科考生咨询,15***90 (湖南),2018-06-26 10:12,老师你好分数577位次11213超过我省本一分数线8分想报贵校日语系是否有机会被录取？另贵校日语系是否有公费出国留学的机会？,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！录取的概率较低。
您好我是吉林省考生，排名5800，可以报贵校吗,13***06 (吉林),2018-06-26 09:58,同标题,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
山东理工,13***81 (山东),2018-06-26 09:57,山东理工考生624分，如果服从调剂，可以报贵校吗,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
江苏理科362 双选AB+，位次约一万九千名左右,su***@163.com (江苏),2018-06-26 09:18,请问报考贵校有希望吗？,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
录取,18***51 (河南),2018-06-26 09:14,老师，我是河南一名文科生，今年高考成绩635，排名930，有希望被贵校录取吗,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
山东考生咨询,18***69 (山东),2018-06-26 09:13,山东理科考生623分，省位次9983，报贵校，服从调剂有希望吗？,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
陕西,15***10 (陕西),2018-06-26 09:06,我是陕西考生今年考了634，位次3469，想问今年报考贵校可以吗？,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
甘肃理工类考生592分，3650名，可以报贵校吗,18***59 (甘肃),2018-06-25 16:58,甘肃理工类考生592分，3650名，服从调剂，可以报贵校吗？,风险较大
能否进该校,18***32 (云南),2018-06-25 16:58,请问我是云南考生，理科排名8500，由国家专项，请问进该校的几率大吗？,请根据我校相应招生类别的往年录取分数及省排位进行预估及判断。
能否进该校,18***32 (云南),2018-06-25 16:57,请问我是云南考生，理科排名8500，由国家专项，请问进该校的几率大吗？,请根据我校相应招生类别的往年录取分数及省排位进行预估及判断。
招生咨询,13***85 (北京),2018-06-25 16:54,老师，您好，我是北京文科考生，排名1700多名，有希望报考重庆大学吗？,风险较大，可作为第一志愿冲一下。
山东考生,18***39 (山东),2018-06-25 16:53,农村专项选择专业是否和普通本科一样？,不一样，分别公布了招生计划。
咨询,13***6@qq.com (辽宁),2018-06-25 16:46,您好，我是辽宁的考生请问学校会不会退档有没有专业级差,没有专业级差，服从调剂考生除体检受限以外一般都不会退档。
咨询,13***45 (河南),2018-06-25 16:45,老师，您好。我是河南文科考生，今年高考成绩629分，高出一本线82分，省排位1415，报考贵可以被录取吗？谢谢。,有希望，可作为第一志愿冲击一下。
河南文科报考咨询,13***27 (河南),2018-06-26 14:23,老师您好！我是女生，请问河南文科考生622分，省内分数排名2011名，报考贵校有希望录取吗？谢谢！,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
海南理科生,18***90 (海南),2018-06-26 14:10,老师您好：海南理科723分，省排名1189，高出省分数线184分，想报考贵校有希望吗？,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
录取,15***81 (河南),2018-06-26 13:15,河南考生理科614排名10714有望报考贵校吗,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！有一定风险
北京文科,13***21 (北京),2018-06-26 13:13,高一本线43排名2036能报外国语言文学吗？谢谢回答,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
北京文科考生,wu***18@163.com (北京),2018-06-26 12:30,老师，北京文科633分报考重大能录取吗,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
河南文科咨询,18***65 (河南),2018-06-26 12:20,老师您好，我今年632分，省排名1160左右，请问报贵校把握有多大？另请简要介绍贵校文科专业发展情况。谢谢！,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
山东理科考生,13***13 (山东),2018-06-26 11:50,山东理科630分7500名，能报考什么专业,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
报考,15***93 (河南),2018-06-26 11:46,河南考生理科627分排名6500名左右能否被贵校录取,欢迎报考！专业选择请参考我校历年录取分专业成绩http://zhaosheng.cqu.edu.cn，建议服从专业调剂！
