标题,来源,时间,问题,回答
河北考生 619，省排名14992，可以冲一下贵校吗？,13***56 (河北),2018-06-26 16:04,高河北本一线108分，想冲一下贵校有没有可能，谢谢！,您好！根据去年的情况，您的成绩可以尝试在第一志愿冲一下我校。如果对我校的专业有浓厚兴趣，可以报考我校的中外合作办学专业（道路桥梁与渡河工程），您的成绩录取中外合作办学的希望非常大。
长安大学艺术类招生,15***69 (陕西),2018-06-26 15:54,陕西考生，艺术类提前批次b段招生长安大学代码是啥，还有环境设计专业的代码,院校代码仍为8007，专业具体代码在陕西省招生计划书查询。
广西考生,15***56 (广西),2018-06-26 15:47,老师您好，我是今年广西考生，我今年的成绩是595，广西排名7612，想报贵校的机械类专业，有多大把握呢？还有贵校的卓越班是什么情况？？,"[您好，您的成绩非常优异，报考我校有较大把握，由于每年报志愿的情况不同，专业录取有不确定性，按照望您的经验，您的成绩有较大可能被机械类专业录取。""卓越工程师教育培养计划""(简称""卓越计划"")是国家教育部贯彻落实《国家中长期教育改革和发展规划纲要(2010-2020年)》和《国家中长期人才发展规划纲要(2010-2020年)》的重大改革项目，也是促进我国由工程教育大国迈向工程教育强国的重大举措旨在培养造就一大批创新能力强、适应经济社会发展需要的高质量各类型工程技术人才，为国家走新型工业化发展道路、建设创新型国家和人才强国战略服务，对促进高等教育面向社会需求培养人才，全面提高工程教育人才培养质量具有十分重要的示范和引导。""卓越计划""具有三个特点:一是行业企业深度参与培养过程;二是学校按通用标准和行业标准培养工程人才;三是强化培养学生的工程能力和创新能力。实施措施一、创立高校与行业和企业联合培养人才的新机制;二、以强化工程能力和创新能力为重点改革人才培养模式;三、改革完善工程教师职务聘任、考核制度;四、扩大工程教育的对外开放;五、教育界与工业界联合制定人才培养标准。"
江西理科 报考提前批 工科爱好者,13***15 (江西),2018-06-26 15:42,我江西排名14523名，能报考贵校的提前批吗?,您好！去年最低录到8000名左右，您的成绩可能录取概率低。
报考咨询,18***71 (陕西),2018-06-26 15:24,我是陕西的理科考生，高考成绩是575，省位次13264，想报考贵校，能否录取？,您好！根据去年的情况，您的录取希望较大。去年录取位次16000名左右。
江西 报考提前批,13***15 (江西),2018-06-26 15:21,我江西排名14523名，能报考贵校的提前批吗?,您好！根据去年的情况，您被录取的希望较小，去年录取位次8000名左右。
预科,15***46 (宁夏),2018-06-26 15:16,我是宁夏回族考生，统考分加政策分519，上预科可以吗,麻烦说一下高考位次，我们以位次咨询
陕西文科考生,13***53 (陕西),2018-06-26 15:07,在陕西排名5263，有上贵校的希望吗。成绩550,根据去年的情况，你被录取的希望不大。建议您将长安大学填在第一志愿，冲一下，不影响其他5个志愿的录取，也不排除录取的可能。
陕西考生591能选择贵校计算机类专业吗？,18***23 (陕西),2018-06-26 15:00,可以被录取吗？,591在10000名左右，根据往年的情况，上计算机类专业的可能性很大。另外，学校有完整的转专业政策，如果您特别喜欢计算机专业，而又恰好没有录到计算机专业，可以入校后争取转专业的机会。您的分数上我校是非常稳的。
提前批,15***35 (河南),2018-06-26 14:54,请问贵校提前批怎样招生？我是河南理科考生，今年分数621，位次8451，提前批报考贵校有希望吗？,提前批志愿在一批本科之前投档，如果没有被录取，则不影响一批本的投档与录取，等于比普通考生多了一次投档与录取的机会，您的成绩可以在提前批尝试报考我校工科试验班（本硕分流），录取的希望非常大。
