标题,来源,时间,问题,回答
山东报考,13***48 (山东),2018-06-27 15:22,英语专业要口试成绩吗？要多少才行,你好，详情请查看我校本科招生章程录取原则第二十条http://zsb.snnu.edu.cn/html/1072.htm，如有问题请拨打招生咨询电话02985310330。
山东报考,13***48 (山东),2018-06-27 15:11,理科602分，19234名有多大希望,你好，我校在山东2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
北京考生理科578分，位次10964,ne***01@163.com (北京),2018-06-27 15:02,北京考生理科578分，位次10964，想报数学类，服从调剂。这分能提档吗？能冲贵校吗？录取机会有多大？请预估一下今年提档线。谢谢!,你好，我校在北京2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
免费师范,13***81 (广东),2018-06-27 14:56,广东提前批的是不是免费师范生，要签合同的。还能不能考研究生,你好，志愿填报请以本省的报考指南为准。公费师范生入学前须与学校和生源所在地省级教育行政部门签订协议，如有问题请拨打招生咨询电话02985310330。
提前批录取方式,15***76 (河南),2018-06-27 14:42,我想请问一下，贵校关于提前批的录取方式，在投档进入贵校后，是否如招生简章所写的“分数优先，遵循志愿”。因为不确定招生简章是否适用于提前批，故来咨询。感谢您的回答！,你好，具体请查看陕西师范大学2018年全日制普通本科招生章程http://zsb.snnu.edu.cn/html/1072.htm，如有问题请拨打招生咨询电话02985310330。
辽宁文科,13***03 (辽宁),2018-06-27 14:01,请问辽宁文科613分，省排名641，能报考贵校吗？,你好，我校在辽宁2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
报考咨询,15***38 (黑龙江),2018-06-27 13:34,陕西师大老师：您好！我是黑龙江理科考生，欲报贵校第一批次，请问我入学后是否有机会转专业到其他师范类专业（心理学除外），是否存在分数级差，会不会退档，麻烦老师耐心回答。,你好，新生入校学习一年后进行一次性专业分流，具体分流办法以当年的专业分流政策为准。如有问题请拨打招生咨询电话02985310330。
退档,13***25 (江苏),2018-06-27 13:19,老师，请问你校服从专业调剂会退档吗,你好，详情请拨打招生咨询电话02985310330。
咨询,91***@qq.com (广东),2018-06-27 12:57,老师好，我是广东音乐声，文科总分429，音乐类总分512排位585能否上贵校音乐师范专业？,你好，我校在广东2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
报考咨询,15***55 (河南),2018-06-27 12:51,提前批若报化学师范专业签订协议毕业后需工作几年。能否考研。,你好，公费师范生毕业后一般回生源所在地省份从事中小学教育工作不少于6年，不能直接考研。但符合条件的公费师范生可攻读非全日制教育硕士专业学位，如有问题请拨打招生咨询电话02985310330。
河南,15***55 (河南),2018-06-27 12:44,河南理科考生580能报考该校吗,你好，我校在河南2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
广西文科考生,15***29 (广西),2018-06-27 11:50,您好，我是今年的广西文科考生，582分，超一本线35分，位次2870，想填报贵校，请问有希望被录取吗？,你好，我校在广西2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
公费师范生,13***50 (山东),2018-06-27 11:41,老师您好，我是山东理科考生，今年考分596，位次22150，报考贵校公费师范生有希望吗,你好，我校在山东2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
公费师范生填报,13***50 (山东),2018-06-27 11:23,老师您好，模拟填报时只找到了文理类本科提前批地方公费师范生首次志愿，没找到国家公费师范生表格，填报国家公费师范生表格时也是填在地方表格里吗,你好，填报志愿以本省的报考指南为准，如有问题请拨打招生咨询电话02985310330。
国家专项招生计划,13***28 (河南),2018-06-27 10:41,您好！我是河南考生：理科总分585，排名24015，想报贵校的国家专项（符合条件）。请问是否有希望？谢谢！,你好，我校在河南2017年的录取情况请查看http://zsb.snnu.edu.cn/search_lnfs.asp，2018年我校的招生计划请查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题请拨打招生咨询电话02985310330。
老师好 山东理科 545 能否被贵校录取？,15***68 (山东),2018-06-25 09:22,老师好山东理科545能否被贵校录取？,你好，2017年我校在山东的录取情况可查看http://zsb.snnu.edu.cn/search_lnfs_view.asp，2018年我校的招生计划可查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题可拨打招生咨询电话02985310330。
河南考生咨询,ky***3.com (河南),2018-06-25 09:20,老师你好，河南文科考生580分，位次9600，报考贵校提前批次免费师范生可以吗？,你好，2017年我校在河南的录取情况可查看http://zsb.snnu.edu.cn/search_lnfs_view.asp，2018年我校的招生计划可查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题可拨打招生咨询电话02985310330。
录取规则,18***27 (辽宁),2018-06-25 09:13,您好！辽宁理科考生，实行平行自愿，请问贵校是否承诺服从不退？谢谢！,你好，我校的录取原则可查看http://zsb.snnu.edu.cn/html/1072.htm，如有问题可拨打招生咨询电话02985310330。
咨询贵校师范专业,28***@qq.com (内蒙古),2018-06-25 09:11,内蒙古地区理科555分，排名9800，请问能上贵校的师范类专业吗？非公费师范类专业有哪些?盼解惑,你好，2017年我校在内蒙古的录取情况可查看http://zsb.snnu.edu.cn/search_lnfs_view.asp，2018年我校的招生计划可查看http://zsb.snnu.edu.cn/html/1075.htm，如有问题可拨打招生咨询电话02985310330。
老师，您好！江苏公费师范生如何填报贵校志愿？在哪个批次？,15***06 (江苏),2018-06-25 09:11,公费师范生对女生身高有无特殊要求？有无其他条件限制？,你好，志愿填报以本省的报考指南为准。对考生身体健康状况的要求建议参照《普通高等学校招生体检工作指导意见》以及《陕西省申请教师资格人员体检标准及办法（试行）》的相关规定，如有问题可拨打招生咨询电话02985310330。
报考咨询2018,18***88 (甘肃),2018-06-24 16:43,尊敬的招生办老师您好，我是甘肃理科考生高考成绩534，全省排名13782，请问报考贵校能否被录取，请您拨冗解答，谢谢老师,你好，我校2017年在甘肃录取情况：理工师范534，位次大概七千多，理工非师范521，位次大概九千多。仅供参考，希望能为您报考提供帮助，谢谢！
免费师范生,17***17 (贵州),2018-06-24 15:51,老师你好，我是贵州考生理科生，想报你校免费师范生，分数563，省排名12253，你看可以吗?非常感谢,你好，我校在贵州2017年录取分数：理工师范544，位次大概七千多。希望能为您报考提供帮助。谢谢
陕西免费师范生,15***1@qq.com (陕西),2018-06-24 15:38,我是2018年陕西考生568分位次3332是否可以报贵校的免费师范呢,你好，请告知您是文史还是理工，详情请拨打招生咨询电话02985310330。谢谢！
广东2018在贵校有免费师范生的名额吗？有的话几个呢？谢谢,13***23 (广东),2018-06-24 14:55,我是广东考生2018在贵校有免费师范生的名额广东有吗？有的话几个呢？谢谢,你好，我校在广东省有招生计划，请登录我校本科招生信息网查询http://zsb.snnu.edu.cn/html/1075.htm
广东2018在贵校有免费师范生的名额吗？有的话几个呢？谢谢,13***23 (广东),2018-06-24 14:52,广东2018在贵校有免费师范生的名额吗？有的话几个呢？谢谢,你好，我校在广东有公费师范生招生计划，具体请登录我校本科招生信息网查询http://zsb.snnu.edu.cn/html/1075.htm
免费师范生,17***17 (贵州),2018-06-24 14:49,老师你好，我是贵州考生，想报你校免费师范生，分数563，省排名12253，你看可以吗?非常感谢!,你好，请问您是文科生还是理科生？也可拨打我校本科招生咨询电话029-85310330。
期待回复,24***6@qq.com (宁夏),2018-06-24 14:02,你好，我是宁夏文科考生，成绩是597，排名是366，欲报考贵校的免费师范生，能否被录取,你好，我校2017年在宁夏文史师范录取最低分582，位次大概三百多。希望能给您提供到帮助。
转专业,18***48 (北京),2018-06-24 12:09,如果专业不理想，大学期间转专业需要什么条件,你好，入校学习一年以后会进行一次性专业分流，具体以当年政策为准。
