标题,来源,时间,问题,回答
山东理科,12***5@qq.com (山东),2018-06-27 17:03,您好，如请果选择服从调剂那么会出现过提档线而退档的情况吗？,不会！
福建录取,13***71 (福建),2018-06-27 16:47,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,有希望的，可以报考。
理工类,18***57 (山东),2018-06-27 14:41,请问山东省540分，入青海大学有希望吗？,有希望的。
河南理科生,10***4@qq.com (河南),2018-06-27 14:07,今年533分，能到贵校学习吗？,理科生的话，有一定希望。
我是山东理科生，547分，位次61528，报考工商管理能成吗,18***07 (山东),2018-06-27 10:24,工商管理类。水利水电工程。电子商务。给排水工程能录取吗？服从调剂能留在本校吗？我把青海大学放在第一志愿，希望能被贵校录取。谢谢回答，我在等答复,欢迎报考，有一定希望的。
专业,15***03 (陕西),2018-06-27 09:31,我是陕西的考生，名次24083，报考贵校临床医学能否被录取？,有可能的，具体得看今年的报考人数！
报考希望,24***8@qq.com (山东),2018-06-27 09:02,您好，我是山东文史类考生，总分576，位次12100，报考贵校有希望吗,有希望的！
专科专业,18***14 (山东),2018-06-26 19:50,请问贵校专科专业有哪些？对应的2017年分数线是多少？,请登录www.qhu.edu.cn查询，或者直接登录zsw.qhu.edu.cn查询
招生计划,18***14 (山东),2018-06-26 19:47,贵校2018年在山东是否招生？422分，山东省排名194177的学生能否被录取？,风险较大。
招生次位,14***27 (广西),2018-06-26 16:30,请问，贵校近几年在广西招生录取的最低次位是多少名？最低分数是多少？,可以登录zsw.qhu.edu.cn查询。
咨询,59***@qq.com (青海),2018-06-26 16:30,老师您好.青海考生加民族分差二本线7分.想报考贵校预科.有希望吗？谢谢老师,有希望的。
河南文科,15***42 (河南),2018-06-26 15:27,您好，我是文科生，低于一本分数线三分，全省累计位次23311，想报考贵校请问录取的可能大吗,我们不录取线下考生的！
咨询一下,18***42 (青海),2018-06-26 15:10,老师，您好，我是本地学生，今年加上民族分共考了471分，我想报考贵校的临床医学，请问以我的这个分有希望被录取吗？,有希望，如果能在多个批次填报的话，希望更大。
山东考生,24***7@qq.com (山东),2018-06-26 10:55,581分报考贵校被录取的可能性大吗？,理科成绩的话，希望较大！
山东考生550分，58088名报考贵校，录取可能性大吗？,18***30 (山东),2018-06-26 10:46,报考贵校希望大吗？若录取可能性大点推荐报什么专业,可以报考，但是专业可以根据自己的兴趣爱好选择。
